pathogenid,direct,direct_sexual,direct_vertical,indirect,fecal_oral,ingestion,inhalation,environment,vector,name
2301520,1,0,0,0,1,1,1,0,0,tufted capuchin adenovirus 3
27309412,1,0,0,0,1,1,1,1,0,vespertilionid adenovirus 1
27589175,1,0,0,0,1,1,1,1,0,vespertilionid adenovirus 2
27589177,1,0,0,0,1,1,1,0,0,vespertilionid adenovirus 3
27589179,1,0,0,0,1,1,1,0,0,vespertilionid adenovirus 4
3800077,1,0,0,0,1,1,1,0,0,bovine adenovirus f
3607026,1,0,0,0,1,1,1,0,0,bovine atadenovirus d
3800073,1,0,0,0,1,1,1,0,0,cervine adenovirus
3526822,1,0,0,0,1,1,1,0,0,deer atadenovirus a
3606858,1,1,0,0,1,1,1,0,0,duck adenovirus a
3606857,1,0,0,0,1,1,1,0,0,ovine adenovirus d
3599191,1,0,0,0,1,1,1,0,0,possum atadenovirus a
27614371,1,0,0,0,1,1,1,0,0,psittacine atadenovirus a
2233538,1,0,0,0,1,1,1,1,0,duck adenovirus 3
26323132,1,0,0,0,1,1,1,1,0,duck aviadenovirus b
4071680,1,0,0,0,1,1,1,1,0,falcon aviadenovirus a
26201222,1,0,1,0,1,1,1,1,0,fowl adenovirus
3645362,1,0,0,0,1,1,1,1,0,fowl adenovirus 12
3661403,1,0,0,0,1,1,1,1,0,fowl aviadenovirus a
3661404,1,1,0,0,1,1,1,1,0,fowl aviadenovirus b
3661405,1,0,0,0,1,1,1,1,0,fowl aviadenovirus c
3661406,1,1,0,0,1,1,1,1,0,fowl aviadenovirus d
3661407,1,1,0,0,1,1,1,1,0,fowl aviadenovirus e
27328396,1,0,0,0,1,1,1,1,0,goose adenovirus 5
1193420,1,0,0,0,1,1,1,1,0,goose aviadenovirus a
2023337,1,0,0,0,1,1,1,1,0,marten adenovirus type 1
3742890,1,0,0,0,1,1,1,1,0,meyer's parrot adenovirus 1
2086357,1,0,0,0,1,1,1,1,0,neotropic cormorant aviadenovirus
1924072,1,0,0,0,1,1,1,1,0,pigeon adenovirus 2a
27501006,1,0,0,0,1,1,1,1,0,pigeon adenovirus 2b
27501008,1,0,0,0,1,1,1,1,0,pigeon adenovirus 3
27501010,1,0,0,0,1,1,1,1,0,pigeon adenovirus 4
27501012,1,0,0,0,1,1,1,1,0,pigeon adenovirus 5
4113403,1,0,0,0,1,1,1,1,0,pigeon aviadenovirus a
2169708,1,0,0,0,1,1,1,1,0,pigeon aviadenovirus b
3774715,1,1,0,0,1,1,1,1,0,psittacine adenovirus 1
2169709,1,0,0,0,1,1,1,1,0,psittacine aviadenovirus b
4174255,1,0,0,0,1,1,1,1,0,turkey aviadenovirus 2
26553117,1,0,0,0,1,1,1,1,0,turkey aviadenovirus b
27551243,1,0,0,0,1,1,1,1,0,turkey aviadenovirus c
27551245,1,0,0,0,1,1,1,1,0,turkey aviadenovirus d
4095380,1,0,0,0,1,1,1,1,0,bat mastadenovirus
4094761,1,0,0,0,1,1,1,1,0,bat mastadenovirus a
4074303,1,0,0,0,1,1,1,1,0,bat mastadenovirus b
26205210,1,0,0,0,1,1,1,1,0,bat mastadenovirus c
26205206,1,0,0,0,1,1,1,1,0,bat mastadenovirus d
26205208,1,0,0,0,1,1,1,1,0,bat mastadenovirus e
2015376,1,0,0,0,1,1,1,1,0,bat mastadenovirus g
3606499,1,0,0,0,1,1,1,1,0,bovine mastadenovirus a
3606496,1,0,0,0,1,1,1,1,0,bovine mastadenovirus b
3606498,1,0,0,0,1,1,1,1,0,bovine mastadenovirus c
3435054,1,0,0,0,1,1,1,1,0,canine mastadenovirus a
3839071,1,0,0,0,1,1,1,1,0,caprine adenovirus 2
3767266,1,0,0,0,1,1,1,1,0,chimpanzee adenovirus
27826154,1,0,0,0,1,1,1,1,0,chinstrap penguin adenovirus 1
27826156,1,0,0,0,1,1,1,1,0,chinstrap penguin adenovirus 2
27767977,1,0,0,0,1,1,1,1,0,chinstrap penguin adenovirus 3
27767979,1,0,0,0,1,1,1,1,0,chinstrap penguin adenovirus 4
27767981,1,0,0,0,1,1,1,1,0,chinstrap penguin adenovirus 5
27767983,1,0,0,0,1,1,1,1,0,chinstrap penguin adenovirus 6
27826158,1,0,0,0,1,1,1,1,0,chinstrap penguin adenovirus 7
27826160,1,0,0,0,1,1,1,1,0,chinstrap penguin adenovirus 8
24643278,1,0,0,0,1,1,1,1,0,colobus guereza adenovirus 1
24643279,1,0,0,0,1,1,1,1,0,colobus guereza adenovirus 2
24643280,1,0,0,0,1,1,1,1,0,colobus guereza adenovirus 3
2170000,1,0,0,0,1,1,1,1,0,deer mastadenovirus b
27725305,1,0,0,0,1,1,1,1,0,desmodus rotundus adenovirus 1
27725307,1,0,0,0,1,1,1,1,0,desmodus rotundus adenovirus 2
1986025,1,0,0,0,1,1,1,1,0,dolphin mastadenovirus a
26745985,1,0,0,0,1,1,1,1,0,dolphin mastadenovirus b
