"species","fam_links","VirusFamily","association","status","new_links","gen","fam","clade","MSW3_sciName_matched","tip"
"Anoura caudifer","Anoura caudifer-peribunyaviridae","peribunyaviridae",NA,0,"Anoura caudifer-peribunyaviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-phenuiviridae","phenuiviridae",NA,0,"Anoura caudifer-phenuiviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-picobirnaviridae","picobirnaviridae",NA,0,"Anoura caudifer-picobirnaviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-picornaviridae","picornaviridae",NA,0,"Anoura caudifer-picornaviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-polyomaviridae","polyomaviridae",NA,0,"Anoura caudifer-polyomaviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-poxviridae","poxviridae",NA,0,"Anoura caudifer-poxviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-qinviridae","qinviridae",NA,0,"Anoura caudifer-qinviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-retroviridae","retroviridae",NA,0,"Anoura caudifer-retroviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-rhabdoviridae","rhabdoviridae",NA,0,"Anoura caudifer-rhabdoviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-sedoreoviridae","sedoreoviridae",NA,0,"Anoura caudifer-sedoreoviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-smacoviridae","smacoviridae",NA,0,"Anoura caudifer-smacoviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-spinareoviridae","spinareoviridae",NA,0,"Anoura caudifer-spinareoviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-togaviridae","togaviridae",NA,0,"Anoura caudifer-togaviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-totiviridae","totiviridae",NA,0,"Anoura caudifer-totiviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-tymoviridae","tymoviridae",NA,0,"Anoura caudifer-tymoviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura geoffroyi","Anoura geoffroyi-adamaviridae","adamaviridae",NA,0,"Anoura geoffroyi-adamaviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_geoffroyi","Anoura_geoffroyi"
"Anoura geoffroyi","Anoura geoffroyi-adenoviridae","adenoviridae",NA,0,"Anoura geoffroyi-adenoviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_geoffroyi","Anoura_geoffroyi"
"Anoura geoffroyi","Anoura geoffroyi-adintoviridae","adintoviridae",NA,0,"Anoura geoffroyi-adintoviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_geoffroyi","Anoura_geoffroyi"
"Anoura geoffroyi","Anoura geoffroyi-anelloviridae","anelloviridae",NA,0,"Anoura geoffroyi-anelloviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_geoffroyi","Anoura_geoffroyi"
"Anoura geoffroyi","Anoura geoffroyi-arenaviridae","arenaviridae",NA,0,"Anoura geoffroyi-arenaviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_geoffroyi","Anoura_geoffroyi"
"Anoura geoffroyi","Anoura geoffroyi-artoviridae","artoviridae",NA,0,"Anoura geoffroyi-artoviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_geoffroyi","Anoura_geoffroyi"
"Anoura geoffroyi","Anoura geoffroyi-astroviridae","astroviridae",NA,0,"Anoura geoffroyi-astroviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_geoffroyi","Anoura_geoffroyi"
"Anoura geoffroyi","Anoura geoffroyi-birnaviridae","birnaviridae",NA,0,"Anoura geoffroyi-birnaviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_geoffroyi","Anoura_geoffroyi"
"Anoura geoffroyi","Anoura geoffroyi-bornaviridae","bornaviridae",NA,0,"Anoura geoffroyi-bornaviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_geoffroyi","Anoura_geoffroyi"
"Anoura geoffroyi","Anoura geoffroyi-botourmiaviridae","botourmiaviridae",NA,0,"Anoura geoffroyi-botourmiaviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_geoffroyi","Anoura_geoffroyi"
"Anoura geoffroyi","Anoura geoffroyi-caliciviridae","caliciviridae",NA,0,"Anoura geoffroyi-caliciviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_geoffroyi","Anoura_geoffroyi"
"Anoura geoffroyi","Anoura geoffroyi-chuviridae","chuviridae",NA,0,"Anoura geoffroyi-chuviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_geoffroyi","Anoura_geoffroyi"
"Anoura geoffroyi","Anoura geoffroyi-circoviridae","circoviridae",NA,0,"Anoura geoffroyi-circoviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_geoffroyi","Anoura_geoffroyi"
"Anoura geoffroyi","Anoura geoffroyi-coronaviridae","coronaviridae",NA,0,"Anoura geoffroyi-coronaviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_geoffroyi","Anoura_geoffroyi"
"Anoura geoffroyi","Anoura geoffroyi-filoviridae","filoviridae",NA,0,"Anoura geoffroyi-filoviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_geoffroyi","Anoura_geoffroyi"
"Anoura geoffroyi","Anoura geoffroyi-flaviviridae","flaviviridae",NA,0,"Anoura geoffroyi-flaviviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_geoffroyi","Anoura_geoffroyi"
"Anoura geoffroyi","Anoura geoffroyi-geminiviridae","geminiviridae",NA,0,"Anoura geoffroyi-geminiviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_geoffroyi","Anoura_geoffroyi"
"Anoura geoffroyi","Anoura geoffroyi-genomoviridae","genomoviridae",NA,0,"Anoura geoffroyi-genomoviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_geoffroyi","Anoura_geoffroyi"
"Anoura geoffroyi","Anoura geoffroyi-hantaviridae","hantaviridae",NA,0,"Anoura geoffroyi-hantaviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_geoffroyi","Anoura_geoffroyi"
"Anoura geoffroyi","Anoura geoffroyi-hepadnaviridae","hepadnaviridae",NA,0,"Anoura geoffroyi-hepadnaviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_geoffroyi","Anoura_geoffroyi"
"Anoura geoffroyi","Anoura geoffroyi-hepeviridae","hepeviridae",NA,0,"Anoura geoffroyi-hepeviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_geoffroyi","Anoura_geoffroyi"
"Anoura geoffroyi","Anoura geoffroyi-kolmioviridae","kolmioviridae",NA,0,"Anoura geoffroyi-kolmioviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_geoffroyi","Anoura_geoffroyi"
"Anoura geoffroyi","Anoura geoffroyi-mahapunaviridae","mahapunaviridae",NA,0,"Anoura geoffroyi-mahapunaviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_geoffroyi","Anoura_geoffroyi"
"Anoura geoffroyi","Anoura geoffroyi-matonaviridae","matonaviridae",NA,0,"Anoura geoffroyi-matonaviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_geoffroyi","Anoura_geoffroyi"
"Anoura geoffroyi","Anoura geoffroyi-nairoviridae","nairoviridae",NA,0,"Anoura geoffroyi-nairoviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_geoffroyi","Anoura_geoffroyi"
"Anoura geoffroyi","Anoura geoffroyi-nodaviridae","nodaviridae",NA,0,"Anoura geoffroyi-nodaviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_geoffroyi","Anoura_geoffroyi"
"Anoura geoffroyi","Anoura geoffroyi-nyamiviridae","nyamiviridae",NA,0,"Anoura geoffroyi-nyamiviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_geoffroyi","Anoura_geoffroyi"
"Anoura geoffroyi","Anoura geoffroyi-orthoherpesviridae","orthoherpesviridae",1,1,"Anoura geoffroyi-orthoherpesviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_geoffroyi","Anoura_geoffroyi"
"Anoura geoffroyi","Anoura geoffroyi-orthomyxoviridae","orthomyxoviridae",NA,0,"Anoura geoffroyi-orthomyxoviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_geoffroyi","Anoura_geoffroyi"
