"fam_links","Host","VirusFamily"
"Artibeus jamaicensis-togaviridae","Artibeus jamaicensis","togaviridae"
"Artibeus jamaicensis-parvoviridae","Artibeus jamaicensis","parvoviridae"
"Artibeus jamaicensis-rhabdoviridae","Artibeus jamaicensis","rhabdoviridae"
"Artibeus jamaicensis-arenaviridae","Artibeus jamaicensis","arenaviridae"
"Artibeus jamaicensis-peribunyaviridae","Artibeus jamaicensis","peribunyaviridae"
"Artibeus jamaicensis-flaviviridae","Artibeus jamaicensis","flaviviridae"
"Artibeus jamaicensis-paramyxoviridae","Artibeus jamaicensis","paramyxoviridae"
"Artibeus lituratus-orthomyxoviridae","Artibeus lituratus","orthomyxoviridae"
"Artibeus lituratus-adenoviridae","Artibeus lituratus","adenoviridae"
"Artibeus lituratus-orthoherpesviridae","Artibeus lituratus","orthoherpesviridae"
"Artibeus lituratus-papillomaviridae","Artibeus lituratus","papillomaviridae"
"Artibeus lituratus-parvoviridae","Artibeus lituratus","parvoviridae"
"Artibeus lituratus-rhabdoviridae","Artibeus lituratus","rhabdoviridae"
"Artibeus lituratus-astroviridae","Artibeus lituratus","astroviridae"
"Artibeus lituratus-arenaviridae","Artibeus lituratus","arenaviridae"
"Artibeus lituratus-peribunyaviridae","Artibeus lituratus","peribunyaviridae"
"Artibeus lituratus-togaviridae","Artibeus lituratus","togaviridae"
"Artibeus planirostris-orthomyxoviridae","Artibeus planirostris","orthomyxoviridae"
"Artibeus planirostris-polyomaviridae","Artibeus planirostris","polyomaviridae"
"Artibeus planirostris-orthoherpesviridae","Artibeus planirostris","orthoherpesviridae"
"Artibeus planirostris-papillomaviridae","Artibeus planirostris","papillomaviridae"
"Artibeus planirostris-astroviridae","Artibeus planirostris","astroviridae"
"Artibeus planirostris-hantaviridae","Artibeus planirostris","hantaviridae"
"Artibeus planirostris-picornaviridae","Artibeus planirostris","picornaviridae"
"Artibeus planirostris-rhabdoviridae","Artibeus planirostris","rhabdoviridae"
"Artibeus planirostris-arenaviridae","Artibeus planirostris","arenaviridae"
"Artibeus planirostris-flaviviridae","Artibeus planirostris","flaviviridae"
"Artibeus planirostris-paramyxoviridae","Artibeus planirostris","paramyxoviridae"
"Artibeus planirostris-togaviridae","Artibeus planirostris","togaviridae"
"Artibeus toltecus-arenaviridae","Artibeus toltecus","arenaviridae"
"Aselliscus stoliczkanus-polyomaviridae","Aselliscus stoliczkanus","polyomaviridae"
"Aselliscus stoliczkanus-parvoviridae","Aselliscus stoliczkanus","parvoviridae"
"Aselliscus stoliczkanus-papillomaviridae","Aselliscus stoliczkanus","papillomaviridae"
"Aselliscus stoliczkanus-caliciviridae","Aselliscus stoliczkanus","caliciviridae"
"Aselliscus stoliczkanus-sedoreoviridae","Aselliscus stoliczkanus","sedoreoviridae"
"Aselliscus stoliczkanus-circoviridae","Aselliscus stoliczkanus","circoviridae"
"Aselliscus stoliczkanus-genomoviridae","Aselliscus stoliczkanus","genomoviridae"
"Aselliscus stoliczkanus-paramyxoviridae","Aselliscus stoliczkanus","paramyxoviridae"
"Aselliscus stoliczkanus-spinareoviridae","Aselliscus stoliczkanus","spinareoviridae"
