"fam_links","Host","VirusFamily"
"Pipistrellus kuhlii-parvoviridae","Pipistrellus kuhlii","parvoviridae"
"Pipistrellus kuhlii-sedoreoviridae","Pipistrellus kuhlii","sedoreoviridae"
"Pipistrellus kuhlii-poxviridae","Pipistrellus kuhlii","poxviridae"
"Pipistrellus kuhlii-rhabdoviridae","Pipistrellus kuhlii","rhabdoviridae"
"Pipistrellus kuhlii-spinareoviridae","Pipistrellus kuhlii","spinareoviridae"
"Pipistrellus kuhlii-phenuiviridae","Pipistrellus kuhlii","phenuiviridae"
"Pipistrellus kuhlii-orthoherpesviridae","Pipistrellus kuhlii","orthoherpesviridae"
"Pipistrellus nathusii-coronaviridae","Pipistrellus nathusii","coronaviridae"
"Pipistrellus nathusii-astroviridae","Pipistrellus nathusii","astroviridae"
"Pipistrellus nathusii-adenoviridae","Pipistrellus nathusii","adenoviridae"
"Pipistrellus nathusii-parvoviridae","Pipistrellus nathusii","parvoviridae"
"Pipistrellus nathusii-hepeviridae","Pipistrellus nathusii","hepeviridae"
"Pipistrellus nathusii-circoviridae","Pipistrellus nathusii","circoviridae"
"Pipistrellus nathusii-rhabdoviridae","Pipistrellus nathusii","rhabdoviridae"
"Pipistrellus nathusii-spinareoviridae","Pipistrellus nathusii","spinareoviridae"
"Pipistrellus pipistrellus-astroviridae","Pipistrellus pipistrellus","astroviridae"
"Pipistrellus pipistrellus-bornaviridae","Pipistrellus pipistrellus","bornaviridae"
"Pipistrellus pipistrellus-circoviridae","Pipistrellus pipistrellus","circoviridae"
"Pipistrellus pipistrellus-rhabdoviridae","Pipistrellus pipistrellus","rhabdoviridae"
"Pipistrellus pipistrellus-adenoviridae","Pipistrellus pipistrellus","adenoviridae"
"Pipistrellus pipistrellus-parvoviridae","Pipistrellus pipistrellus","parvoviridae"
"Pipistrellus pipistrellus-polyomaviridae","Pipistrellus pipistrellus","polyomaviridae"
"Pipistrellus pipistrellus-sedoreoviridae","Pipistrellus pipistrellus","sedoreoviridae"
"Pipistrellus pipistrellus-chuviridae","Pipistrellus pipistrellus","chuviridae"
"Pipistrellus pipistrellus-genomoviridae","Pipistrellus pipistrellus","genomoviridae"
"Pipistrellus pipistrellus-spinareoviridae","Pipistrellus pipistrellus","spinareoviridae"
"Pipistrellus pipistrellus-flaviviridae","Pipistrellus pipistrellus","flaviviridae"
"Pipistrellus pipistrellus-nairoviridae","Pipistrellus pipistrellus","nairoviridae"
"Pipistrellus pipistrellus-picornaviridae","Pipistrellus pipistrellus","picornaviridae"
"Pipistrellus pipistrellus-partitiviridae","Pipistrellus pipistrellus","partitiviridae"
"Pipistrellus pipistrellus-orthoherpesviridae","Pipistrellus pipistrellus","orthoherpesviridae"
"Pipistrellus pipistrellus-totiviridae","Pipistrellus pipistrellus","totiviridae"
"Pipistrellus pipistrellus-tymoviridae","Pipistrellus pipistrellus","tymoviridae"
"Pipistrellus pygmaeus-coronaviridae","Pipistrellus pygmaeus","coronaviridae"
"Pipistrellus pygmaeus-adenoviridae","Pipistrellus pygmaeus","adenoviridae"
"Pipistrellus pygmaeus-hepeviridae","Pipistrellus pygmaeus","hepeviridae"
"Pipistrellus pygmaeus-genomoviridae","Pipistrellus pygmaeus","genomoviridae"
"Pipistrellus pygmaeus-rhabdoviridae","Pipistrellus pygmaeus","rhabdoviridae"
"Pipistrellus pygmaeus-orthoherpesviridae","Pipistrellus pygmaeus","orthoherpesviridae"
"Pipistrellus pygmaeus-polyomaviridae","Pipistrellus pygmaeus","polyomaviridae"
"Pipistrellus pygmaeus-picornaviridae","Pipistrellus pygmaeus","picornaviridae"
"Pipistrellus sp.-coronaviridae","Pipistrellus sp.","coronaviridae"
"Pipistrellus sp.-genomoviridae","Pipistrellus sp.","genomoviridae"
"Platyrrhinus lineatus-coronaviridae","Platyrrhinus lineatus","coronaviridae"
"Platyrrhinus lineatus-adenoviridae","Platyrrhinus lineatus","adenoviridae"
"Platyrrhinus lineatus-rhabdoviridae","Platyrrhinus lineatus","rhabdoviridae"
"Platyrrhinus recifinus-coronaviridae","Platyrrhinus recifinus","coronaviridae"
"Plecotus auritus-circoviridae","Plecotus auritus","circoviridae"
"Plecotus auritus-astroviridae","Plecotus auritus","astroviridae"
"Plecotus auritus-coronaviridae","Plecotus auritus","coronaviridae"
"Plecotus auritus-parvoviridae","Plecotus auritus","parvoviridae"
"Plecotus auritus-genomoviridae","Plecotus auritus","genomoviridae"
"Plecotus auritus-rhabdoviridae","Plecotus auritus","rhabdoviridae"
"Plecotus auritus-spinareoviridae","Plecotus auritus","spinareoviridae"
"Plecotus auritus-polyomaviridae","Plecotus auritus","polyomaviridae"
"Plecotus austriacus-rhabdoviridae","Plecotus austriacus","rhabdoviridae"
"Plecotus austriacus-orthoherpesviridae","Plecotus austriacus","orthoherpesviridae"
"Plecotus gaisleri-coronaviridae","Plecotus gaisleri","coronaviridae"
"Plecotus sacrimontis-hepeviridae","Plecotus sacrimontis","hepeviridae"
"Plecotus sp.-coronaviridae","Plecotus sp.","coronaviridae"
"Plecotus sp.-spinareoviridae","Plecotus sp.","spinareoviridae"
"Pseudoromicia brunnea-rhabdoviridae","Pseudoromicia brunnea","rhabdoviridae"
"Pseudoromicia tenuipinnis-hantaviridae","Pseudoromicia tenuipinnis","hantaviridae"
"Pteronotus alitonus-paramyxoviridae","Pteronotus alitonus","paramyxoviridae"
"Pteronotus alitonus-orthoherpesviridae","Pteronotus alitonus","orthoherpesviridae"
"Pteronotus davyi-coronaviridae","Pteronotus davyi","coronaviridae"
"Pteronotus davyi-polyomaviridae","Pteronotus davyi","polyomaviridae"
"Pteronotus davyi-rhabdoviridae","Pteronotus davyi","rhabdoviridae"
"Pteronotus parnellii-polyomaviridae","Pteronotus parnellii","polyomaviridae"
"Pteronotus parnellii-circoviridae","Pteronotus parnellii","circoviridae"
"Pteronotus parnellii-paramyxoviridae","Pteronotus parnellii","paramyxoviridae"
"Pteronotus parnellii-flaviviridae","Pteronotus parnellii","flaviviridae"
"Pteropus alecto-retroviridae","Pteropus alecto","retroviridae"
"Pteropus alecto-rhabdoviridae","Pteropus alecto","rhabdoviridae"
"Pteropus alecto-astroviridae","Pteropus alecto","astroviridae"
"Pteropus alecto-hantaviridae","Pteropus alecto","hantaviridae"
"Pteropus alecto-spinareoviridae","Pteropus alecto","spinareoviridae"
"Pteropus conspicillatus-paramyxoviridae","Pteropus conspicillatus","paramyxoviridae"
"Pteropus conspicillatus-rhabdoviridae","Pteropus conspicillatus","rhabdoviridae"
"Pteropus dasymallus-coronaviridae","Pteropus dasymallus","coronaviridae"
"Pteropus dasymallus-adenoviridae","Pteropus dasymallus","adenoviridae"
"Pteropus hypomelanus-paramyxoviridae","Pteropus hypomelanus","paramyxoviridae"
"Pteropus hypomelanus-spinareoviridae","Pteropus hypomelanus","spinareoviridae"
"Pteropus lylei-coronaviridae","Pteropus lylei","coronaviridae"
"Pteropus lylei-flaviviridae","Pteropus lylei","flaviviridae"
"Pteropus lylei-orthoherpesviridae","Pteropus lylei","orthoherpesviridae"
"Pteropus medius-coronaviridae","Pteropus medius","coronaviridae"
"Pteropus medius-paramyxoviridae","Pteropus medius","paramyxoviridae"
"Pteropus melanotus-paramyxoviridae","Pteropus melanotus","paramyxoviridae"
"Pteropus poliocephalus-artoviridae","Pteropus poliocephalus","artoviridae"
"Pteropus poliocephalus-birnaviridae","Pteropus poliocephalus","birnaviridae"
"Pteropus poliocephalus-chuviridae","Pteropus poliocephalus","chuviridae"
"Pteropus poliocephalus-nodaviridae","Pteropus poliocephalus","nodaviridae"
"Pteropus poliocephalus-nyamiviridae","Pteropus poliocephalus","nyamiviridae"
"Pteropus poliocephalus-orthomyxoviridae","Pteropus poliocephalus","orthomyxoviridae"
"Pteropus poliocephalus-qinviridae","Pteropus poliocephalus","qinviridae"
"Pteropus poliocephalus-retroviridae","Pteropus poliocephalus","retroviridae"
"Pteropus poliocephalus-coronaviridae","Pteropus poliocephalus","coronaviridae"
"Pteropus poliocephalus-caliciviridae","Pteropus poliocephalus","caliciviridae"
"Pteropus poliocephalus-parvoviridae","Pteropus poliocephalus","parvoviridae"
"Pteropus poliocephalus-paramyxoviridae","Pteropus poliocephalus","paramyxoviridae"
"Pteropus poliocephalus-rhabdoviridae","Pteropus poliocephalus","rhabdoviridae"
"Pteropus poliocephalus-spinareoviridae","Pteropus poliocephalus","spinareoviridae"
"Pteropus poliocephalus-flaviviridae","Pteropus poliocephalus","flaviviridae"
"Pteropus poliocephalus-orthoherpesviridae","Pteropus poliocephalus","orthoherpesviridae"
"Pteropus rufus-paramyxoviridae","Pteropus rufus","paramyxoviridae"
"Pteropus rufus-rhabdoviridae","Pteropus rufus","rhabdoviridae"
"Pteropus rufus-picornaviridae","Pteropus rufus","picornaviridae"
"Pteropus rufus-coronaviridae","Pteropus rufus","coronaviridae"
"Pteropus scapulatus-spinareoviridae","Pteropus scapulatus","spinareoviridae"
"Pteropus scapulatus-paramyxoviridae","Pteropus scapulatus","paramyxoviridae"
"Pteropus scapulatus-rhabdoviridae","Pteropus scapulatus","rhabdoviridae"
"Pteropus scapulatus-poxviridae","Pteropus scapulatus","poxviridae"
"Pteropus scapulatus-orthoherpesviridae","Pteropus scapulatus","orthoherpesviridae"
"Pteropus sp.-polyomaviridae","Pteropus sp.","polyomaviridae"
"Pteropus sp.-coronaviridae","Pteropus sp.","coronaviridae"
"Pteropus sp.-paramyxoviridae","Pteropus sp.","paramyxoviridae"
"Pteropus sp.-orthoherpesviridae","Pteropus sp.","orthoherpesviridae"
"Pteropus sp.-parvoviridae","Pteropus sp.","parvoviridae"
"Pteropus tonganus-circoviridae","Pteropus tonganus","circoviridae"
"Pteropus tonganus-genomoviridae","Pteropus tonganus","genomoviridae"
"Pteropus tonganus-adamaviridae","Pteropus tonganus","adamaviridae"
"Pteropus vampyrus-circoviridae","Pteropus vampyrus","circoviridae"
"Pteropus vampyrus-rhabdoviridae","Pteropus vampyrus","rhabdoviridae"
"Pteropus vampyrus-spinareoviridae","Pteropus vampyrus","spinareoviridae"
"Pteropus vampyrus-orthoherpesviridae","Pteropus vampyrus","orthoherpesviridae"
"Pteropus vampyrus-flaviviridae","Pteropus vampyrus","flaviviridae"
"Pteropus vampyrus-papillomaviridae","Pteropus vampyrus","papillomaviridae"
"Rhinolophus acuminatus-coronaviridae","Rhinolophus acuminatus","coronaviridae"
"Rhinolophus affinis-astroviridae","Rhinolophus affinis","astroviridae"
"Rhinolophus affinis-parvoviridae","Rhinolophus affinis","parvoviridae"
"Rhinolophus affinis-retroviridae","Rhinolophus affinis","retroviridae"
"Rhinolophus affinis-hepadnaviridae","Rhinolophus affinis","hepadnaviridae"
"Rhinolophus affinis-picornaviridae","Rhinolophus affinis","picornaviridae"
"Rhinolophus affinis-papillomaviridae","Rhinolophus affinis","papillomaviridae"
"Rhinolophus affinis-polyomaviridae","Rhinolophus affinis","polyomaviridae"
"Rhinolophus affinis-caliciviridae","Rhinolophus affinis","caliciviridae"
"Rhinolophus affinis-spinareoviridae","Rhinolophus affinis","spinareoviridae"
"Rhinolophus affinis-rhabdoviridae","Rhinolophus affinis","rhabdoviridae"
"Rhinolophus affinis-sedoreoviridae","Rhinolophus affinis","sedoreoviridae"
"Rhinolophus affinis-circoviridae","Rhinolophus affinis","circoviridae"
"Rhinolophus affinis-genomoviridae","Rhinolophus affinis","genomoviridae"
"Rhinolophus affinis-hantaviridae","Rhinolophus affinis","hantaviridae"
"Rhinolophus affinis-flaviviridae","Rhinolophus affinis","flaviviridae"
"Rhinolophus affinis-partitiviridae","Rhinolophus affinis","partitiviridae"
"Rhinolophus affinis-picobirnaviridae","Rhinolophus affinis","picobirnaviridae"
"Rhinolophus affinis-totiviridae","Rhinolophus affinis","totiviridae"
"Rhinolophus alcyone-hepadnaviridae","Rhinolophus alcyone","hepadnaviridae"
"Rhinolophus blasii-coronaviridae","Rhinolophus blasii","coronaviridae"
"Rhinolophus blasii-sedoreoviridae","Rhinolophus blasii","sedoreoviridae"
"Rhinolophus blasii-polyomaviridae","Rhinolophus blasii","polyomaviridae"
"Rhinolophus borneensis-coronaviridae","Rhinolophus borneensis","coronaviridae"
"Rhinolophus capensis-coronaviridae","Rhinolophus capensis","coronaviridae"
"Rhinolophus chaseni-coronaviridae","Rhinolophus chaseni","coronaviridae"
"Rhinolophus clivosus-parvoviridae","Rhinolophus clivosus","parvoviridae"
"Rhinolophus cornutus-coronaviridae","Rhinolophus cornutus","coronaviridae"
"Rhinolophus cornutus-adenoviridae","Rhinolophus cornutus","adenoviridae"
"Rhinolophus cornutus-rhabdoviridae","Rhinolophus cornutus","rhabdoviridae"
"Rhinolophus cornutus-flaviviridae","Rhinolophus cornutus","flaviviridae"
"Rhinolophus darlingi-coronaviridae","Rhinolophus darlingi","coronaviridae"
"Rhinolophus denti-paramyxoviridae","Rhinolophus denti","paramyxoviridae"
"Rhinolophus eloquens-rhabdoviridae","Rhinolophus eloquens","rhabdoviridae"
"Rhinolophus eloquens-filoviridae","Rhinolophus eloquens","filoviridae"
"Rhinolophus euryale-adenoviridae","Rhinolophus euryale","adenoviridae"
"Rhinolophus euryale-sedoreoviridae","Rhinolophus euryale","sedoreoviridae"
"Rhinolophus euryale-polyomaviridae","Rhinolophus euryale","polyomaviridae"
"Rhinolophus euryale-rhabdoviridae","Rhinolophus euryale","rhabdoviridae"
"Rhinolophus ferrumequinum-rhabdoviridae","Rhinolophus ferrumequinum","rhabdoviridae"
"Rhinolophus ferrumequinum-astroviridae","Rhinolophus ferrumequinum","astroviridae"
"Rhinolophus ferrumequinum-parvoviridae","Rhinolophus ferrumequinum","parvoviridae"
"Rhinolophus ferrumequinum-caliciviridae","Rhinolophus ferrumequinum","caliciviridae"
"Rhinolophus ferrumequinum-circoviridae","Rhinolophus ferrumequinum","circoviridae"
"Rhinolophus ferrumequinum-retroviridae","Rhinolophus ferrumequinum","retroviridae"
"Rhinolophus ferrumequinum-picornaviridae","Rhinolophus ferrumequinum","picornaviridae"
"Rhinolophus ferrumequinum-adenoviridae","Rhinolophus ferrumequinum","adenoviridae"
"Rhinolophus ferrumequinum-sedoreoviridae","Rhinolophus ferrumequinum","sedoreoviridae"
"Rhinolophus ferrumequinum-papillomaviridae","Rhinolophus ferrumequinum","papillomaviridae"
"Rhinolophus ferrumequinum-polyomaviridae","Rhinolophus ferrumequinum","polyomaviridae"
"Rhinolophus ferrumequinum-hepeviridae","Rhinolophus ferrumequinum","hepeviridae"
"Rhinolophus ferrumequinum-genomoviridae","Rhinolophus ferrumequinum","genomoviridae"
"Rhinolophus ferrumequinum-paramyxoviridae","Rhinolophus ferrumequinum","paramyxoviridae"
"Rhinolophus ferrumequinum-flaviviridae","Rhinolophus ferrumequinum","flaviviridae"
"Rhinolophus ferrumequinum-hantaviridae","Rhinolophus ferrumequinum","hantaviridae"
"Rhinolophus ferrumequinum-nairoviridae","Rhinolophus ferrumequinum","nairoviridae"
"Rhinolophus ferrumequinum-orthoherpesviridae","Rhinolophus ferrumequinum","orthoherpesviridae"
"Rhinolophus ferrumequinum-matonaviridae","Rhinolophus ferrumequinum","matonaviridae"
"Rhinolophus hildebrandti-rhabdoviridae","Rhinolophus hildebrandti","rhabdoviridae"
"Rhinolophus hildebrandti-polyomaviridae","Rhinolophus hildebrandti","polyomaviridae"
"Rhinolophus hipposideros-circoviridae","Rhinolophus hipposideros","circoviridae"
"Rhinolophus hipposideros-astroviridae","Rhinolophus hipposideros","astroviridae"
"Rhinolophus hipposideros-picornaviridae","Rhinolophus hipposideros","picornaviridae"
"Rhinolophus hipposideros-sedoreoviridae","Rhinolophus hipposideros","sedoreoviridae"
"Rhinolophus hipposideros-polyomaviridae","Rhinolophus hipposideros","polyomaviridae"
"Rhinolophus hipposideros-genomoviridae","Rhinolophus hipposideros","genomoviridae"
"Rhinolophus hipposideros-paramyxoviridae","Rhinolophus hipposideros","paramyxoviridae"
"Rhinolophus hipposideros-spinareoviridae","Rhinolophus hipposideros","spinareoviridae"
"Rhinolophus hipposideros-coronaviridae","Rhinolophus hipposideros","coronaviridae"
"Rhinolophus hipposideros-orthoherpesviridae","Rhinolophus hipposideros","orthoherpesviridae"
"Rhinolophus hipposideros-retroviridae","Rhinolophus hipposideros","retroviridae"
"Rhinolophus landeri-paramyxoviridae","Rhinolophus landeri","paramyxoviridae"
"Rhinolophus landeri-sedoreoviridae","Rhinolophus landeri","sedoreoviridae"
"Rhinolophus lepidus-parvoviridae","Rhinolophus lepidus","parvoviridae"
"Rhinolophus lepidus-astroviridae","Rhinolophus lepidus","astroviridae"
"Rhinolophus lepidus-nairoviridae","Rhinolophus lepidus","nairoviridae"
"Rhinolophus lobatus-coronaviridae","Rhinolophus lobatus","coronaviridae"
"Rhinolophus luctus-coronaviridae","Rhinolophus luctus","coronaviridae"
"Rhinolophus macrotis-coronaviridae","Rhinolophus macrotis","coronaviridae"
"Rhinolophus macrotis-papillomaviridae","Rhinolophus macrotis","papillomaviridae"
"Rhinolophus macrotis-parvoviridae","Rhinolophus macrotis","parvoviridae"
"Rhinolophus macrotis-genomoviridae","Rhinolophus macrotis","genomoviridae"
"Rhinolophus macrotis-paramyxoviridae","Rhinolophus macrotis","paramyxoviridae"
"Rhinolophus malayanus-coronaviridae","Rhinolophus malayanus","coronaviridae"
"Rhinolophus malayanus-genomoviridae","Rhinolophus malayanus","genomoviridae"
"Rhinolophus malayanus-parvoviridae","Rhinolophus malayanus","parvoviridae"
"Rhinolophus marshalli-coronaviridae","Rhinolophus marshalli","coronaviridae"
"Rhinolophus marshalli-sedoreoviridae","Rhinolophus marshalli","sedoreoviridae"
"Rhinolophus megaphyllus-retroviridae","Rhinolophus megaphyllus","retroviridae"
"Rhinolophus microglobosus-coronaviridae","Rhinolophus microglobosus","coronaviridae"
"Rhinolophus monoceros-coronaviridae","Rhinolophus monoceros","coronaviridae"
"Rhinolophus monoceros-hantaviridae","Rhinolophus monoceros","hantaviridae"
"Rhinolophus pearsonii-adintoviridae","Rhinolophus pearsonii","adintoviridae"
"Rhinolophus pearsonii-coronaviridae","Rhinolophus pearsonii","coronaviridae"
"Rhinolophus pearsonii-astroviridae","Rhinolophus pearsonii","astroviridae"
"Rhinolophus pearsonii-retroviridae","Rhinolophus pearsonii","retroviridae"
"Rhinolophus pearsonii-polyomaviridae","Rhinolophus pearsonii","polyomaviridae"
"Rhinolophus pearsonii-spinareoviridae","Rhinolophus pearsonii","spinareoviridae"
"Rhinolophus pearsonii-sedoreoviridae","Rhinolophus pearsonii","sedoreoviridae"
"Rhinolophus pearsonii-caliciviridae","Rhinolophus pearsonii","caliciviridae"
"Rhinolophus pearsonii-chuviridae","Rhinolophus pearsonii","chuviridae"
"Rhinolophus pearsonii-parvoviridae","Rhinolophus pearsonii","parvoviridae"
"Rhinolophus pearsonii-genomoviridae","Rhinolophus pearsonii","genomoviridae"
"Rhinolophus pearsonii-flaviviridae","Rhinolophus pearsonii","flaviviridae"
"Rhinolophus pearsonii-partitiviridae","Rhinolophus pearsonii","partitiviridae"
"Rhinolophus pearsonii-peribunyaviridae","Rhinolophus pearsonii","peribunyaviridae"
"Rhinolophus pearsonii-picornaviridae","Rhinolophus pearsonii","picornaviridae"
"Rhinolophus pearsonii-rhabdoviridae","Rhinolophus pearsonii","rhabdoviridae"
"Rhinolophus pearsonii-totiviridae","Rhinolophus pearsonii","totiviridae"
"Rhinolophus pearsonii-tymoviridae","Rhinolophus pearsonii","tymoviridae"
"Rhinolophus philippinensis-coronaviridae","Rhinolophus philippinensis","coronaviridae"
"Rhinolophus pusillus-phenuiviridae","Rhinolophus pusillus","phenuiviridae"
"Rhinolophus pusillus-astroviridae","Rhinolophus pusillus","astroviridae"
"Rhinolophus pusillus-circoviridae","Rhinolophus pusillus","circoviridae"
"Rhinolophus pusillus-retroviridae","Rhinolophus pusillus","retroviridae"
"Rhinolophus pusillus-papillomaviridae","Rhinolophus pusillus","papillomaviridae"
"Rhinolophus pusillus-picornaviridae","Rhinolophus pusillus","picornaviridae"
"Rhinolophus pusillus-polyomaviridae","Rhinolophus pusillus","polyomaviridae"
"Rhinolophus pusillus-caliciviridae","Rhinolophus pusillus","caliciviridae"
"Rhinolophus pusillus-orthoherpesviridae","Rhinolophus pusillus","orthoherpesviridae"
"Rhinolophus pusillus-genomoviridae","Rhinolophus pusillus","genomoviridae"
"Rhinolophus pusillus-rhabdoviridae","Rhinolophus pusillus","rhabdoviridae"
"Rhinolophus pusillus-spinareoviridae","Rhinolophus pusillus","spinareoviridae"
"Rhinolophus pusillus-flaviviridae","Rhinolophus pusillus","flaviviridae"
"Rhinolophus pusillus-hantaviridae","Rhinolophus pusillus","hantaviridae"
"Rhinolophus pusillus-parvoviridae","Rhinolophus pusillus","parvoviridae"
"Rhinolophus pusillus-totiviridae","Rhinolophus pusillus","totiviridae"
"Rhinolophus rhodesiae-coronaviridae","Rhinolophus rhodesiae","coronaviridae"
"Rhinolophus rhodesiae-paramyxoviridae","Rhinolophus rhodesiae","paramyxoviridae"
"Rhinolophus rouxii-astroviridae","Rhinolophus rouxii","astroviridae"
"Rhinolophus rouxii-flaviviridae","Rhinolophus rouxii","flaviviridae"
"Rhinolophus shameli-astroviridae","Rhinolophus shameli","astroviridae"
"Rhinolophus siamensis-coronaviridae","Rhinolophus siamensis","coronaviridae"
"Rhinolophus simulator-coronaviridae","Rhinolophus simulator","coronaviridae"
"Rhinolophus simulator-paramyxoviridae","Rhinolophus simulator","paramyxoviridae"
"Rhinolophus simulator-polyomaviridae","Rhinolophus simulator","polyomaviridae"
"Rhinolophus sinicus-astroviridae","Rhinolophus sinicus","astroviridae"
"Rhinolophus sinicus-caliciviridae","Rhinolophus sinicus","caliciviridae"
"Rhinolophus sinicus-circoviridae","Rhinolophus sinicus","circoviridae"
"Rhinolophus sinicus-picornaviridae","Rhinolophus sinicus","picornaviridae"
"Rhinolophus sinicus-rhabdoviridae","Rhinolophus sinicus","rhabdoviridae"
"Rhinolophus sinicus-papillomaviridae","Rhinolophus sinicus","papillomaviridae"
"Rhinolophus sinicus-polyomaviridae","Rhinolophus sinicus","polyomaviridae"
"Rhinolophus sinicus-retroviridae","Rhinolophus sinicus","retroviridae"
"Rhinolophus sinicus-sedoreoviridae","Rhinolophus sinicus","sedoreoviridae"
"Rhinolophus sinicus-birnaviridae","Rhinolophus sinicus","birnaviridae"
"Rhinolophus sinicus-hepeviridae","Rhinolophus sinicus","hepeviridae"
"Rhinolophus sinicus-chuviridae","Rhinolophus sinicus","chuviridae"
"Rhinolophus sinicus-parvoviridae","Rhinolophus sinicus","parvoviridae"
"Rhinolophus sinicus-genomoviridae","Rhinolophus sinicus","genomoviridae"
"Rhinolophus sinicus-hantaviridae","Rhinolophus sinicus","hantaviridae"
"Rhinolophus sinicus-flaviviridae","Rhinolophus sinicus","flaviviridae"
"Rhinolophus sinicus-partitiviridae","Rhinolophus sinicus","partitiviridae"
"Rhinolophus sinicus-peribunyaviridae","Rhinolophus sinicus","peribunyaviridae"
"Rhinolophus sinicus-phenuiviridae","Rhinolophus sinicus","phenuiviridae"
"Rhinolophus sinicus-picobirnaviridae","Rhinolophus sinicus","picobirnaviridae"
"Rhinolophus sinicus-totiviridae","Rhinolophus sinicus","totiviridae"
"Rhinolophus sp.-coronaviridae","Rhinolophus sp.","coronaviridae"
"Rhinolophus sp.-astroviridae","Rhinolophus sp.","astroviridae"
"Rhinolophus sp.-papillomaviridae","Rhinolophus sp.","papillomaviridae"
"Rhinolophus sp.-picornaviridae","Rhinolophus sp.","picornaviridae"
"Rhinolophus sp.-rhabdoviridae","Rhinolophus sp.","rhabdoviridae"
"Rhinolophus sp.-sedoreoviridae","Rhinolophus sp.","sedoreoviridae"
"Rhinolophus sp.-genomoviridae","Rhinolophus sp.","genomoviridae"
"Rhinolophus sp.-parvoviridae","Rhinolophus sp.","parvoviridae"
"Rhinolophus sp.-paramyxoviridae","Rhinolophus sp.","paramyxoviridae"
"Rhinolophus sp.-partitiviridae","Rhinolophus sp.","partitiviridae"
"Rhinolophus sp.-peribunyaviridae","Rhinolophus sp.","peribunyaviridae"
"Rhinolophus sp.-phenuiviridae","Rhinolophus sp.","phenuiviridae"
"Rhinolophus sp.-picobirnaviridae","Rhinolophus sp.","picobirnaviridae"
"Rhinolophus sp.-flaviviridae","Rhinolophus sp.","flaviviridae"
"Rhinolophus sp.-totiviridae","Rhinolophus sp.","totiviridae"
"Rhinolophus stheno-coronaviridae","Rhinolophus stheno","coronaviridae"
"Rhinolophus thomasi-astroviridae","Rhinolophus thomasi","astroviridae"
"Rhinolophus thomasi-polyomaviridae","Rhinolophus thomasi","polyomaviridae"
"Rhinolophus thomasi-rhabdoviridae","Rhinolophus thomasi","rhabdoviridae"
"Rhinolophus thomasi-totiviridae","Rhinolophus thomasi","totiviridae"
"Rhinophylla pumilio-flaviviridae","Rhinophylla pumilio","flaviviridae"
"Rhinophylla pumilio-parvoviridae","Rhinophylla pumilio","parvoviridae"
"Rhogeessa tumida-flaviviridae","Rhogeessa tumida","flaviviridae"
"Rhynchonycteris naso-paramyxoviridae","Rhynchonycteris naso","paramyxoviridae"
"Rhynchonycteris naso-orthoherpesviridae","Rhynchonycteris naso","orthoherpesviridae"
"Rousettus aegyptiacus-togaviridae","Rousettus aegyptiacus","togaviridae"
"Rousettus aegyptiacus-astroviridae","Rousettus aegyptiacus","astroviridae"
"Rousettus aegyptiacus-caliciviridae","Rousettus aegyptiacus","caliciviridae"
"Rousettus aegyptiacus-sedoreoviridae","Rousettus aegyptiacus","sedoreoviridae"
"Rousettus aegyptiacus-orthoherpesviridae","Rousettus aegyptiacus","orthoherpesviridae"
"Rousettus aegyptiacus-rhabdoviridae","Rousettus aegyptiacus","rhabdoviridae"
"Rousettus aegyptiacus-peribunyaviridae","Rousettus aegyptiacus","peribunyaviridae"
"Rousettus aegyptiacus-flaviviridae","Rousettus aegyptiacus","flaviviridae"
"Rousettus aegyptiacus-hepadnaviridae","Rousettus aegyptiacus","hepadnaviridae"
"Rousettus aegyptiacus-nairoviridae","Rousettus aegyptiacus","nairoviridae"
"Rousettus aegyptiacus-poxviridae","Rousettus aegyptiacus","poxviridae"
"Rousettus aegyptiacus-papillomaviridae","Rousettus aegyptiacus","papillomaviridae"
"Rousettus aegyptiacus-circoviridae","Rousettus aegyptiacus","circoviridae"
"Rousettus aegyptiacus-hantaviridae","Rousettus aegyptiacus","hantaviridae"
"Rousettus aegyptiacus-parvoviridae","Rousettus aegyptiacus","parvoviridae"
"Rousettus amplexicaudatus-filoviridae","Rousettus amplexicaudatus","filoviridae"
"Rousettus amplexicaudatus-astroviridae","Rousettus amplexicaudatus","astroviridae"
"Rousettus amplexicaudatus-hantaviridae","Rousettus amplexicaudatus","hantaviridae"
"Rousettus amplexicaudatus-paramyxoviridae","Rousettus amplexicaudatus","paramyxoviridae"
"Rousettus amplexicaudatus-spinareoviridae","Rousettus amplexicaudatus","spinareoviridae"
"Rousettus amplexicaudatus-sedoreoviridae","Rousettus amplexicaudatus","sedoreoviridae"
"Rousettus leschenaultii-togaviridae","Rousettus leschenaultii","togaviridae"
"Rousettus leschenaultii-astroviridae","Rousettus leschenaultii","astroviridae"
"Rousettus leschenaultii-filoviridae","Rousettus leschenaultii","filoviridae"
"Rousettus leschenaultii-retroviridae","Rousettus leschenaultii","retroviridae"
"Rousettus leschenaultii-adenoviridae","Rousettus leschenaultii","adenoviridae"
"Rousettus leschenaultii-polyomaviridae","Rousettus leschenaultii","polyomaviridae"
"Rousettus leschenaultii-caliciviridae","Rousettus leschenaultii","caliciviridae"
"Rousettus leschenaultii-sedoreoviridae","Rousettus leschenaultii","sedoreoviridae"
"Rousettus leschenaultii-parvoviridae","Rousettus leschenaultii","parvoviridae"
