"","fam_links","Host","VirusFamily","association","status"
"16043","Rhinolophus hildebrandti-caliciviridae","Rhinolophus hildebrandti","caliciviridae",NA,0
"16044","Rhinolophus hildebrandti-chuviridae","Rhinolophus hildebrandti","chuviridae",NA,0
"16045","Rhinolophus hildebrandti-circoviridae","Rhinolophus hildebrandti","circoviridae",NA,0
"16046","Rhinolophus hildebrandti-coronaviridae","Rhinolophus hildebrandti","coronaviridae",NA,0
"16047","Rhinolophus hildebrandti-filoviridae","Rhinolophus hildebrandti","filoviridae",NA,0
"16048","Rhinolophus hildebrandti-flaviviridae","Rhinolophus hildebrandti","flaviviridae",NA,0
"16049","Rhinolophus hildebrandti-geminiviridae","Rhinolophus hildebrandti","geminiviridae",NA,0
"16050","Rhinolophus hildebrandti-genomoviridae","Rhinolophus hildebrandti","genomoviridae",NA,0
"16051","Rhinolophus hildebrandti-hantaviridae","Rhinolophus hildebrandti","hantaviridae",NA,0
"16052","Rhinolophus hildebrandti-hepadnaviridae","Rhinolophus hildebrandti","hepadnaviridae",NA,0
"16053","Rhinolophus hildebrandti-hepeviridae","Rhinolophus hildebrandti","hepeviridae",NA,0
"16054","Rhinolophus hildebrandti-kolmioviridae","Rhinolophus hildebrandti","kolmioviridae",NA,0
"16055","Rhinolophus hildebrandti-mahapunaviridae","Rhinolophus hildebrandti","mahapunaviridae",NA,0
"16056","Rhinolophus hildebrandti-matonaviridae","Rhinolophus hildebrandti","matonaviridae",NA,0
"16057","Rhinolophus hildebrandti-nairoviridae","Rhinolophus hildebrandti","nairoviridae",NA,0
"16058","Rhinolophus hildebrandti-nodaviridae","Rhinolophus hildebrandti","nodaviridae",NA,0
"16059","Rhinolophus hildebrandti-nyamiviridae","Rhinolophus hildebrandti","nyamiviridae",NA,0
"16060","Rhinolophus hildebrandti-orthoherpesviridae","Rhinolophus hildebrandti","orthoherpesviridae",NA,0
"16061","Rhinolophus hildebrandti-orthomyxoviridae","Rhinolophus hildebrandti","orthomyxoviridae",NA,0
"16062","Rhinolophus hildebrandti-papillomaviridae","Rhinolophus hildebrandti","papillomaviridae",NA,0
"16063","Rhinolophus hildebrandti-paramyxoviridae","Rhinolophus hildebrandti","paramyxoviridae",NA,0
"16064","Rhinolophus hildebrandti-partitiviridae","Rhinolophus hildebrandti","partitiviridae",NA,0
"16065","Rhinolophus hildebrandti-parvoviridae","Rhinolophus hildebrandti","parvoviridae",NA,0
"16066","Rhinolophus hildebrandti-peribunyaviridae","Rhinolophus hildebrandti","peribunyaviridae",NA,0
"16067","Rhinolophus hildebrandti-phenuiviridae","Rhinolophus hildebrandti","phenuiviridae",NA,0
"16068","Rhinolophus hildebrandti-picobirnaviridae","Rhinolophus hildebrandti","picobirnaviridae",NA,0
"16069","Rhinolophus hildebrandti-picornaviridae","Rhinolophus hildebrandti","picornaviridae",NA,0
"16070","Rhinolophus hildebrandti-polyomaviridae","Rhinolophus hildebrandti","polyomaviridae",1,1
"16071","Rhinolophus hildebrandti-poxviridae","Rhinolophus hildebrandti","poxviridae",NA,0
"16072","Rhinolophus hildebrandti-qinviridae","Rhinolophus hildebrandti","qinviridae",NA,0
"16073","Rhinolophus hildebrandti-retroviridae","Rhinolophus hildebrandti","retroviridae",NA,0
"16074","Rhinolophus hildebrandti-rhabdoviridae","Rhinolophus hildebrandti","rhabdoviridae",1,1
"16075","Rhinolophus hildebrandti-sedoreoviridae","Rhinolophus hildebrandti","sedoreoviridae",NA,0
"16076","Rhinolophus hildebrandti-smacoviridae","Rhinolophus hildebrandti","smacoviridae",NA,0
"16077","Rhinolophus hildebrandti-spinareoviridae","Rhinolophus hildebrandti","spinareoviridae",NA,0
"16078","Rhinolophus hildebrandti-togaviridae","Rhinolophus hildebrandti","togaviridae",NA,0
"16079","Rhinolophus hildebrandti-totiviridae","Rhinolophus hildebrandti","totiviridae",NA,0
"16080","Rhinolophus hildebrandti-tymoviridae","Rhinolophus hildebrandti","tymoviridae",NA,0
"16081","Rhinolophus hipposideros-adamaviridae","Rhinolophus hipposideros","adamaviridae",NA,0
"16082","Rhinolophus hipposideros-adenoviridae","Rhinolophus hipposideros","adenoviridae",NA,0
"16083","Rhinolophus hipposideros-adintoviridae","Rhinolophus hipposideros","adintoviridae",NA,0
"16084","Rhinolophus hipposideros-anelloviridae","Rhinolophus hipposideros","anelloviridae",NA,0
"16085","Rhinolophus hipposideros-arenaviridae","Rhinolophus hipposideros","arenaviridae",NA,0
"16086","Rhinolophus hipposideros-artoviridae","Rhinolophus hipposideros","artoviridae",NA,0
"16087","Rhinolophus hipposideros-astroviridae","Rhinolophus hipposideros","astroviridae",1,1
"16088","Rhinolophus hipposideros-birnaviridae","Rhinolophus hipposideros","birnaviridae",NA,0
"16089","Rhinolophus hipposideros-bornaviridae","Rhinolophus hipposideros","bornaviridae",NA,0
"16090","Rhinolophus hipposideros-botourmiaviridae","Rhinolophus hipposideros","botourmiaviridae",NA,0
"16091","Rhinolophus hipposideros-caliciviridae","Rhinolophus hipposideros","caliciviridae",NA,0
"16092","Rhinolophus hipposideros-chuviridae","Rhinolophus hipposideros","chuviridae",NA,0
"16093","Rhinolophus hipposideros-circoviridae","Rhinolophus hipposideros","circoviridae",1,1
"16094","Rhinolophus hipposideros-coronaviridae","Rhinolophus hipposideros","coronaviridae",1,1
"16095","Rhinolophus hipposideros-filoviridae","Rhinolophus hipposideros","filoviridae",NA,0
"16096","Rhinolophus hipposideros-flaviviridae","Rhinolophus hipposideros","flaviviridae",NA,0
"16097","Rhinolophus hipposideros-geminiviridae","Rhinolophus hipposideros","geminiviridae",NA,0
"16098","Rhinolophus hipposideros-genomoviridae","Rhinolophus hipposideros","genomoviridae",1,1
"16099","Rhinolophus hipposideros-hantaviridae","Rhinolophus hipposideros","hantaviridae",NA,0
"16100","Rhinolophus hipposideros-hepadnaviridae","Rhinolophus hipposideros","hepadnaviridae",NA,0
"16101","Rhinolophus hipposideros-hepeviridae","Rhinolophus hipposideros","hepeviridae",NA,0
"16102","Rhinolophus hipposideros-kolmioviridae","Rhinolophus hipposideros","kolmioviridae",NA,0
"16103","Rhinolophus hipposideros-mahapunaviridae","Rhinolophus hipposideros","mahapunaviridae",NA,0
"16104","Rhinolophus hipposideros-matonaviridae","Rhinolophus hipposideros","matonaviridae",NA,0
"16105","Rhinolophus hipposideros-nairoviridae","Rhinolophus hipposideros","nairoviridae",NA,0
"16106","Rhinolophus hipposideros-nodaviridae","Rhinolophus hipposideros","nodaviridae",NA,0
"16107","Rhinolophus hipposideros-nyamiviridae","Rhinolophus hipposideros","nyamiviridae",NA,0
"16108","Rhinolophus hipposideros-orthoherpesviridae","Rhinolophus hipposideros","orthoherpesviridae",1,1
"16109","Rhinolophus hipposideros-orthomyxoviridae","Rhinolophus hipposideros","orthomyxoviridae",NA,0
"16110","Rhinolophus hipposideros-papillomaviridae","Rhinolophus hipposideros","papillomaviridae",NA,0
"16111","Rhinolophus hipposideros-paramyxoviridae","Rhinolophus hipposideros","paramyxoviridae",1,1
"16112","Rhinolophus hipposideros-partitiviridae","Rhinolophus hipposideros","partitiviridae",NA,0
"16113","Rhinolophus hipposideros-parvoviridae","Rhinolophus hipposideros","parvoviridae",NA,0
"16114","Rhinolophus hipposideros-peribunyaviridae","Rhinolophus hipposideros","peribunyaviridae",NA,0
"16115","Rhinolophus hipposideros-phenuiviridae","Rhinolophus hipposideros","phenuiviridae",NA,0
"16116","Rhinolophus hipposideros-picobirnaviridae","Rhinolophus hipposideros","picobirnaviridae",NA,0
"16117","Rhinolophus hipposideros-picornaviridae","Rhinolophus hipposideros","picornaviridae",1,1
"16118","Rhinolophus hipposideros-polyomaviridae","Rhinolophus hipposideros","polyomaviridae",1,1
"16119","Rhinolophus hipposideros-poxviridae","Rhinolophus hipposideros","poxviridae",NA,0
"16120","Rhinolophus hipposideros-qinviridae","Rhinolophus hipposideros","qinviridae",NA,0
"16121","Rhinolophus hipposideros-retroviridae","Rhinolophus hipposideros","retroviridae",1,1
"16122","Rhinolophus hipposideros-rhabdoviridae","Rhinolophus hipposideros","rhabdoviridae",NA,0
"16123","Rhinolophus hipposideros-sedoreoviridae","Rhinolophus hipposideros","sedoreoviridae",1,1
"16124","Rhinolophus hipposideros-smacoviridae","Rhinolophus hipposideros","smacoviridae",NA,0
"16125","Rhinolophus hipposideros-spinareoviridae","Rhinolophus hipposideros","spinareoviridae",1,1
"16126","Rhinolophus hipposideros-togaviridae","Rhinolophus hipposideros","togaviridae",NA,0
"16127","Rhinolophus hipposideros-totiviridae","Rhinolophus hipposideros","totiviridae",NA,0
"16128","Rhinolophus hipposideros-tymoviridae","Rhinolophus hipposideros","tymoviridae",NA,0
"16129","Rhinolophus landeri-adamaviridae","Rhinolophus landeri","adamaviridae",NA,0
"16130","Rhinolophus landeri-adenoviridae","Rhinolophus landeri","adenoviridae",1,1
"16131","Rhinolophus landeri-adintoviridae","Rhinolophus landeri","adintoviridae",NA,0
"16132","Rhinolophus landeri-anelloviridae","Rhinolophus landeri","anelloviridae",NA,0
"16133","Rhinolophus landeri-arenaviridae","Rhinolophus landeri","arenaviridae",NA,0
"16134","Rhinolophus landeri-artoviridae","Rhinolophus landeri","artoviridae",NA,0
"16135","Rhinolophus landeri-astroviridae","Rhinolophus landeri","astroviridae",NA,0
"16136","Rhinolophus landeri-birnaviridae","Rhinolophus landeri","birnaviridae",NA,0
"16137","Rhinolophus landeri-bornaviridae","Rhinolophus landeri","bornaviridae",NA,0
"16138","Rhinolophus landeri-botourmiaviridae","Rhinolophus landeri","botourmiaviridae",NA,0
"16139","Rhinolophus landeri-caliciviridae","Rhinolophus landeri","caliciviridae",NA,0
"16140","Rhinolophus landeri-chuviridae","Rhinolophus landeri","chuviridae",NA,0
"16141","Rhinolophus landeri-circoviridae","Rhinolophus landeri","circoviridae",NA,0
"16142","Rhinolophus landeri-coronaviridae","Rhinolophus landeri","coronaviridae",NA,0
"16143","Rhinolophus landeri-filoviridae","Rhinolophus landeri","filoviridae",NA,0
"16144","Rhinolophus landeri-flaviviridae","Rhinolophus landeri","flaviviridae",NA,0
"16145","Rhinolophus landeri-geminiviridae","Rhinolophus landeri","geminiviridae",NA,0
"16146","Rhinolophus landeri-genomoviridae","Rhinolophus landeri","genomoviridae",NA,0
"16147","Rhinolophus landeri-hantaviridae","Rhinolophus landeri","hantaviridae",NA,0
"16148","Rhinolophus landeri-hepadnaviridae","Rhinolophus landeri","hepadnaviridae",NA,0
"16149","Rhinolophus landeri-hepeviridae","Rhinolophus landeri","hepeviridae",NA,0
"16150","Rhinolophus landeri-kolmioviridae","Rhinolophus landeri","kolmioviridae",NA,0
"16151","Rhinolophus landeri-mahapunaviridae","Rhinolophus landeri","mahapunaviridae",NA,0
"16152","Rhinolophus landeri-matonaviridae","Rhinolophus landeri","matonaviridae",NA,0
"16153","Rhinolophus landeri-nairoviridae","Rhinolophus landeri","nairoviridae",NA,0
"16154","Rhinolophus landeri-nodaviridae","Rhinolophus landeri","nodaviridae",NA,0
"16155","Rhinolophus landeri-nyamiviridae","Rhinolophus landeri","nyamiviridae",NA,0
"16156","Rhinolophus landeri-orthoherpesviridae","Rhinolophus landeri","orthoherpesviridae",NA,0
"16157","Rhinolophus landeri-orthomyxoviridae","Rhinolophus landeri","orthomyxoviridae",NA,0
"16158","Rhinolophus landeri-papillomaviridae","Rhinolophus landeri","papillomaviridae",NA,0
"16159","Rhinolophus landeri-paramyxoviridae","Rhinolophus landeri","paramyxoviridae",1,1
"16160","Rhinolophus landeri-partitiviridae","Rhinolophus landeri","partitiviridae",NA,0
"16161","Rhinolophus landeri-parvoviridae","Rhinolophus landeri","parvoviridae",NA,0
"16162","Rhinolophus landeri-peribunyaviridae","Rhinolophus landeri","peribunyaviridae",NA,0
"16163","Rhinolophus landeri-phenuiviridae","Rhinolophus landeri","phenuiviridae",NA,0
"16164","Rhinolophus landeri-picobirnaviridae","Rhinolophus landeri","picobirnaviridae",NA,0
"16165","Rhinolophus landeri-picornaviridae","Rhinolophus landeri","picornaviridae",NA,0
"16166","Rhinolophus landeri-polyomaviridae","Rhinolophus landeri","polyomaviridae",NA,0
"16167","Rhinolophus landeri-poxviridae","Rhinolophus landeri","poxviridae",NA,0
"16168","Rhinolophus landeri-qinviridae","Rhinolophus landeri","qinviridae",NA,0
"16169","Rhinolophus landeri-retroviridae","Rhinolophus landeri","retroviridae",NA,0
"16170","Rhinolophus landeri-rhabdoviridae","Rhinolophus landeri","rhabdoviridae",NA,0
"16171","Rhinolophus landeri-sedoreoviridae","Rhinolophus landeri","sedoreoviridae",1,1
"16172","Rhinolophus landeri-smacoviridae","Rhinolophus landeri","smacoviridae",NA,0
"16173","Rhinolophus landeri-spinareoviridae","Rhinolophus landeri","spinareoviridae",NA,0
"16174","Rhinolophus landeri-togaviridae","Rhinolophus landeri","togaviridae",NA,0
"16175","Rhinolophus landeri-totiviridae","Rhinolophus landeri","totiviridae",NA,0
"16176","Rhinolophus landeri-tymoviridae","Rhinolophus landeri","tymoviridae",NA,0
"16177","Rhinolophus lepidus-adamaviridae","Rhinolophus lepidus","adamaviridae",NA,0
"16178","Rhinolophus lepidus-adenoviridae","Rhinolophus lepidus","adenoviridae",NA,0
"16179","Rhinolophus lepidus-adintoviridae","Rhinolophus lepidus","adintoviridae",NA,0
"16180","Rhinolophus lepidus-anelloviridae","Rhinolophus lepidus","anelloviridae",NA,0
"16181","Rhinolophus lepidus-arenaviridae","Rhinolophus lepidus","arenaviridae",NA,0
"16182","Rhinolophus lepidus-artoviridae","Rhinolophus lepidus","artoviridae",NA,0
"16183","Rhinolophus lepidus-astroviridae","Rhinolophus lepidus","astroviridae",1,1
"16184","Rhinolophus lepidus-birnaviridae","Rhinolophus lepidus","birnaviridae",NA,0
"16185","Rhinolophus lepidus-bornaviridae","Rhinolophus lepidus","bornaviridae",NA,0
"16186","Rhinolophus lepidus-botourmiaviridae","Rhinolophus lepidus","botourmiaviridae",NA,0
"16187","Rhinolophus lepidus-caliciviridae","Rhinolophus lepidus","caliciviridae",NA,0
"16188","Rhinolophus lepidus-chuviridae","Rhinolophus lepidus","chuviridae",NA,0
"16189","Rhinolophus lepidus-circoviridae","Rhinolophus lepidus","circoviridae",NA,0
"16190","Rhinolophus lepidus-coronaviridae","Rhinolophus lepidus","coronaviridae",NA,0
"16191","Rhinolophus lepidus-filoviridae","Rhinolophus lepidus","filoviridae",NA,0
"16192","Rhinolophus lepidus-flaviviridae","Rhinolophus lepidus","flaviviridae",NA,0
"16193","Rhinolophus lepidus-geminiviridae","Rhinolophus lepidus","geminiviridae",NA,0
"16194","Rhinolophus lepidus-genomoviridae","Rhinolophus lepidus","genomoviridae",NA,0
"16195","Rhinolophus lepidus-hantaviridae","Rhinolophus lepidus","hantaviridae",NA,0
"16196","Rhinolophus lepidus-hepadnaviridae","Rhinolophus lepidus","hepadnaviridae",NA,0
"16197","Rhinolophus lepidus-hepeviridae","Rhinolophus lepidus","hepeviridae",NA,0
"16198","Rhinolophus lepidus-kolmioviridae","Rhinolophus lepidus","kolmioviridae",NA,0
"16199","Rhinolophus lepidus-mahapunaviridae","Rhinolophus lepidus","mahapunaviridae",NA,0
"16200","Rhinolophus lepidus-matonaviridae","Rhinolophus lepidus","matonaviridae",NA,0
"16201","Rhinolophus lepidus-nairoviridae","Rhinolophus lepidus","nairoviridae",1,1
"16202","Rhinolophus lepidus-nodaviridae","Rhinolophus lepidus","nodaviridae",NA,0
"16203","Rhinolophus lepidus-nyamiviridae","Rhinolophus lepidus","nyamiviridae",NA,0
"16204","Rhinolophus lepidus-orthoherpesviridae","Rhinolophus lepidus","orthoherpesviridae",NA,0
"16205","Rhinolophus lepidus-orthomyxoviridae","Rhinolophus lepidus","orthomyxoviridae",NA,0
"16206","Rhinolophus lepidus-papillomaviridae","Rhinolophus lepidus","papillomaviridae",NA,0
"16207","Rhinolophus lepidus-paramyxoviridae","Rhinolophus lepidus","paramyxoviridae",1,1
"16208","Rhinolophus lepidus-partitiviridae","Rhinolophus lepidus","partitiviridae",NA,0
"16209","Rhinolophus lepidus-parvoviridae","Rhinolophus lepidus","parvoviridae",1,1
"16210","Rhinolophus lepidus-peribunyaviridae","Rhinolophus lepidus","peribunyaviridae",NA,0
"16211","Rhinolophus lepidus-phenuiviridae","Rhinolophus lepidus","phenuiviridae",NA,0
"16212","Rhinolophus lepidus-picobirnaviridae","Rhinolophus lepidus","picobirnaviridae",NA,0
"16213","Rhinolophus lepidus-picornaviridae","Rhinolophus lepidus","picornaviridae",NA,0
"16214","Rhinolophus lepidus-polyomaviridae","Rhinolophus lepidus","polyomaviridae",NA,0
"16215","Rhinolophus lepidus-poxviridae","Rhinolophus lepidus","poxviridae",NA,0
"16216","Rhinolophus lepidus-qinviridae","Rhinolophus lepidus","qinviridae",NA,0
"16217","Rhinolophus lepidus-retroviridae","Rhinolophus lepidus","retroviridae",NA,0
"16218","Rhinolophus lepidus-rhabdoviridae","Rhinolophus lepidus","rhabdoviridae",NA,0
"16219","Rhinolophus lepidus-sedoreoviridae","Rhinolophus lepidus","sedoreoviridae",NA,0
"16220","Rhinolophus lepidus-smacoviridae","Rhinolophus lepidus","smacoviridae",NA,0
"16221","Rhinolophus lepidus-spinareoviridae","Rhinolophus lepidus","spinareoviridae",NA,0
"16222","Rhinolophus lepidus-togaviridae","Rhinolophus lepidus","togaviridae",NA,0
"16223","Rhinolophus lepidus-totiviridae","Rhinolophus lepidus","totiviridae",NA,0
"16224","Rhinolophus lepidus-tymoviridae","Rhinolophus lepidus","tymoviridae",NA,0
"16225","Rhinolophus lobatus-adamaviridae","Rhinolophus lobatus","adamaviridae",NA,0
"16226","Rhinolophus lobatus-adenoviridae","Rhinolophus lobatus","adenoviridae",NA,0
"16227","Rhinolophus lobatus-adintoviridae","Rhinolophus lobatus","adintoviridae",NA,0
"16228","Rhinolophus lobatus-anelloviridae","Rhinolophus lobatus","anelloviridae",NA,0
"16229","Rhinolophus lobatus-arenaviridae","Rhinolophus lobatus","arenaviridae",NA,0
"16230","Rhinolophus lobatus-artoviridae","Rhinolophus lobatus","artoviridae",NA,0
"16231","Rhinolophus lobatus-astroviridae","Rhinolophus lobatus","astroviridae",NA,0
"16232","Rhinolophus lobatus-birnaviridae","Rhinolophus lobatus","birnaviridae",NA,0
"16233","Rhinolophus lobatus-bornaviridae","Rhinolophus lobatus","bornaviridae",NA,0
"16234","Rhinolophus lobatus-botourmiaviridae","Rhinolophus lobatus","botourmiaviridae",NA,0
"16235","Rhinolophus lobatus-caliciviridae","Rhinolophus lobatus","caliciviridae",NA,0
"16236","Rhinolophus lobatus-chuviridae","Rhinolophus lobatus","chuviridae",NA,0
"16237","Rhinolophus lobatus-circoviridae","Rhinolophus lobatus","circoviridae",NA,0
"16238","Rhinolophus lobatus-coronaviridae","Rhinolophus lobatus","coronaviridae",1,1
"16239","Rhinolophus lobatus-filoviridae","Rhinolophus lobatus","filoviridae",NA,0
"16240","Rhinolophus lobatus-flaviviridae","Rhinolophus lobatus","flaviviridae",NA,0
"16241","Rhinolophus lobatus-geminiviridae","Rhinolophus lobatus","geminiviridae",NA,0
"16242","Rhinolophus lobatus-genomoviridae","Rhinolophus lobatus","genomoviridae",NA,0
"16243","Rhinolophus lobatus-hantaviridae","Rhinolophus lobatus","hantaviridae",NA,0
"16244","Rhinolophus lobatus-hepadnaviridae","Rhinolophus lobatus","hepadnaviridae",NA,0
"16245","Rhinolophus lobatus-hepeviridae","Rhinolophus lobatus","hepeviridae",NA,0
"16246","Rhinolophus lobatus-kolmioviridae","Rhinolophus lobatus","kolmioviridae",NA,0
"16247","Rhinolophus lobatus-mahapunaviridae","Rhinolophus lobatus","mahapunaviridae",NA,0
"16248","Rhinolophus lobatus-matonaviridae","Rhinolophus lobatus","matonaviridae",NA,0
"16249","Rhinolophus lobatus-nairoviridae","Rhinolophus lobatus","nairoviridae",NA,0
"16250","Rhinolophus lobatus-nodaviridae","Rhinolophus lobatus","nodaviridae",NA,0
"16251","Rhinolophus lobatus-nyamiviridae","Rhinolophus lobatus","nyamiviridae",NA,0
"16252","Rhinolophus lobatus-orthoherpesviridae","Rhinolophus lobatus","orthoherpesviridae",NA,0
"16253","Rhinolophus lobatus-orthomyxoviridae","Rhinolophus lobatus","orthomyxoviridae",NA,0
"16254","Rhinolophus lobatus-papillomaviridae","Rhinolophus lobatus","papillomaviridae",NA,0
"16255","Rhinolophus lobatus-paramyxoviridae","Rhinolophus lobatus","paramyxoviridae",NA,0
"16256","Rhinolophus lobatus-partitiviridae","Rhinolophus lobatus","partitiviridae",NA,0
"16257","Rhinolophus lobatus-parvoviridae","Rhinolophus lobatus","parvoviridae",NA,0
"16258","Rhinolophus lobatus-peribunyaviridae","Rhinolophus lobatus","peribunyaviridae",NA,0
"16259","Rhinolophus lobatus-phenuiviridae","Rhinolophus lobatus","phenuiviridae",NA,0
"16260","Rhinolophus lobatus-picobirnaviridae","Rhinolophus lobatus","picobirnaviridae",NA,0
"16261","Rhinolophus lobatus-picornaviridae","Rhinolophus lobatus","picornaviridae",NA,0
"16262","Rhinolophus lobatus-polyomaviridae","Rhinolophus lobatus","polyomaviridae",NA,0
"16263","Rhinolophus lobatus-poxviridae","Rhinolophus lobatus","poxviridae",NA,0
"16264","Rhinolophus lobatus-qinviridae","Rhinolophus lobatus","qinviridae",NA,0
"16265","Rhinolophus lobatus-retroviridae","Rhinolophus lobatus","retroviridae",NA,0
"16266","Rhinolophus lobatus-rhabdoviridae","Rhinolophus lobatus","rhabdoviridae",NA,0
"16267","Rhinolophus lobatus-sedoreoviridae","Rhinolophus lobatus","sedoreoviridae",NA,0
"16268","Rhinolophus lobatus-smacoviridae","Rhinolophus lobatus","smacoviridae",NA,0
"16269","Rhinolophus lobatus-spinareoviridae","Rhinolophus lobatus","spinareoviridae",NA,0
"16270","Rhinolophus lobatus-togaviridae","Rhinolophus lobatus","togaviridae",NA,0
"16271","Rhinolophus lobatus-totiviridae","Rhinolophus lobatus","totiviridae",NA,0
"16272","Rhinolophus lobatus-tymoviridae","Rhinolophus lobatus","tymoviridae",NA,0
"16273","Rhinolophus luctus-adamaviridae","Rhinolophus luctus","adamaviridae",NA,0
"16274","Rhinolophus luctus-adenoviridae","Rhinolophus luctus","adenoviridae",NA,0
"16275","Rhinolophus luctus-adintoviridae","Rhinolophus luctus","adintoviridae",NA,0
"16276","Rhinolophus luctus-anelloviridae","Rhinolophus luctus","anelloviridae",NA,0
"16277","Rhinolophus luctus-arenaviridae","Rhinolophus luctus","arenaviridae",NA,0
"16278","Rhinolophus luctus-artoviridae","Rhinolophus luctus","artoviridae",NA,0
"16279","Rhinolophus luctus-astroviridae","Rhinolophus luctus","astroviridae",NA,0
"16280","Rhinolophus luctus-birnaviridae","Rhinolophus luctus","birnaviridae",NA,0
"16281","Rhinolophus luctus-bornaviridae","Rhinolophus luctus","bornaviridae",NA,0
"16282","Rhinolophus luctus-botourmiaviridae","Rhinolophus luctus","botourmiaviridae",NA,0
"16283","Rhinolophus luctus-caliciviridae","Rhinolophus luctus","caliciviridae",NA,0
"16284","Rhinolophus luctus-chuviridae","Rhinolophus luctus","chuviridae",NA,0
"16285","Rhinolophus luctus-circoviridae","Rhinolophus luctus","circoviridae",NA,0
"16286","Rhinolophus luctus-coronaviridae","Rhinolophus luctus","coronaviridae",1,1
"16287","Rhinolophus luctus-filoviridae","Rhinolophus luctus","filoviridae",NA,0
"16288","Rhinolophus luctus-flaviviridae","Rhinolophus luctus","flaviviridae",NA,0
"16289","Rhinolophus luctus-geminiviridae","Rhinolophus luctus","geminiviridae",NA,0
"16290","Rhinolophus luctus-genomoviridae","Rhinolophus luctus","genomoviridae",NA,0
"16291","Rhinolophus luctus-hantaviridae","Rhinolophus luctus","hantaviridae",NA,0
"16292","Rhinolophus luctus-hepadnaviridae","Rhinolophus luctus","hepadnaviridae",NA,0
"16293","Rhinolophus luctus-hepeviridae","Rhinolophus luctus","hepeviridae",NA,0
"16294","Rhinolophus luctus-kolmioviridae","Rhinolophus luctus","kolmioviridae",NA,0
"16295","Rhinolophus luctus-mahapunaviridae","Rhinolophus luctus","mahapunaviridae",NA,0
"16296","Rhinolophus luctus-matonaviridae","Rhinolophus luctus","matonaviridae",NA,0
"16297","Rhinolophus luctus-nairoviridae","Rhinolophus luctus","nairoviridae",NA,0
"16298","Rhinolophus luctus-nodaviridae","Rhinolophus luctus","nodaviridae",NA,0
"16299","Rhinolophus luctus-nyamiviridae","Rhinolophus luctus","nyamiviridae",NA,0
"16300","Rhinolophus luctus-orthoherpesviridae","Rhinolophus luctus","orthoherpesviridae",NA,0
"16301","Rhinolophus luctus-orthomyxoviridae","Rhinolophus luctus","orthomyxoviridae",NA,0
"16302","Rhinolophus luctus-papillomaviridae","Rhinolophus luctus","papillomaviridae",NA,0
"16303","Rhinolophus luctus-paramyxoviridae","Rhinolophus luctus","paramyxoviridae",NA,0
"16304","Rhinolophus luctus-partitiviridae","Rhinolophus luctus","partitiviridae",NA,0
"16305","Rhinolophus luctus-parvoviridae","Rhinolophus luctus","parvoviridae",NA,0
"16306","Rhinolophus luctus-peribunyaviridae","Rhinolophus luctus","peribunyaviridae",NA,0
"16307","Rhinolophus luctus-phenuiviridae","Rhinolophus luctus","phenuiviridae",NA,0
"16308","Rhinolophus luctus-picobirnaviridae","Rhinolophus luctus","picobirnaviridae",NA,0
"16309","Rhinolophus luctus-picornaviridae","Rhinolophus luctus","picornaviridae",NA,0
"16310","Rhinolophus luctus-polyomaviridae","Rhinolophus luctus","polyomaviridae",NA,0
"16311","Rhinolophus luctus-poxviridae","Rhinolophus luctus","poxviridae",NA,0
"16312","Rhinolophus luctus-qinviridae","Rhinolophus luctus","qinviridae",NA,0
"16313","Rhinolophus luctus-retroviridae","Rhinolophus luctus","retroviridae",NA,0
"16314","Rhinolophus luctus-rhabdoviridae","Rhinolophus luctus","rhabdoviridae",NA,0
"16315","Rhinolophus luctus-sedoreoviridae","Rhinolophus luctus","sedoreoviridae",NA,0
"16316","Rhinolophus luctus-smacoviridae","Rhinolophus luctus","smacoviridae",NA,0
"16317","Rhinolophus luctus-spinareoviridae","Rhinolophus luctus","spinareoviridae",NA,0
"16318","Rhinolophus luctus-togaviridae","Rhinolophus luctus","togaviridae",NA,0
"16319","Rhinolophus luctus-totiviridae","Rhinolophus luctus","totiviridae",NA,0
"16320","Rhinolophus luctus-tymoviridae","Rhinolophus luctus","tymoviridae",NA,0
"16321","Rhinolophus macrotis-adamaviridae","Rhinolophus macrotis","adamaviridae",NA,0
"16322","Rhinolophus macrotis-adenoviridae","Rhinolophus macrotis","adenoviridae",NA,0
"16323","Rhinolophus macrotis-adintoviridae","Rhinolophus macrotis","adintoviridae",NA,0
"16324","Rhinolophus macrotis-anelloviridae","Rhinolophus macrotis","anelloviridae",NA,0
"16325","Rhinolophus macrotis-arenaviridae","Rhinolophus macrotis","arenaviridae",NA,0
"16326","Rhinolophus macrotis-artoviridae","Rhinolophus macrotis","artoviridae",NA,0
"16327","Rhinolophus macrotis-astroviridae","Rhinolophus macrotis","astroviridae",NA,0
"16328","Rhinolophus macrotis-birnaviridae","Rhinolophus macrotis","birnaviridae",NA,0
"16329","Rhinolophus macrotis-bornaviridae","Rhinolophus macrotis","bornaviridae",NA,0
"16330","Rhinolophus macrotis-botourmiaviridae","Rhinolophus macrotis","botourmiaviridae",NA,0
"16331","Rhinolophus macrotis-caliciviridae","Rhinolophus macrotis","caliciviridae",NA,0
"16332","Rhinolophus macrotis-chuviridae","Rhinolophus macrotis","chuviridae",NA,0
"16333","Rhinolophus macrotis-circoviridae","Rhinolophus macrotis","circoviridae",NA,0
"16334","Rhinolophus macrotis-coronaviridae","Rhinolophus macrotis","coronaviridae",1,1
