"","fam_links","Host","VirusFamily","association","status"
"224","Ardops nichollsi-partitiviridae","Ardops nichollsi","partitiviridae",NA,0
"225","Ardops nichollsi-parvoviridae","Ardops nichollsi","parvoviridae",NA,0
"226","Ardops nichollsi-peribunyaviridae","Ardops nichollsi","peribunyaviridae",NA,0
"227","Ardops nichollsi-phenuiviridae","Ardops nichollsi","phenuiviridae",NA,0
"228","Ardops nichollsi-picobirnaviridae","Ardops nichollsi","picobirnaviridae",NA,0
"229","Ardops nichollsi-picornaviridae","Ardops nichollsi","picornaviridae",NA,0
"230","Ardops nichollsi-polyomaviridae","Ardops nichollsi","polyomaviridae",NA,0
"231","Ardops nichollsi-poxviridae","Ardops nichollsi","poxviridae",NA,0
"232","Ardops nichollsi-qinviridae","Ardops nichollsi","qinviridae",NA,0
"233","Ardops nichollsi-retroviridae","Ardops nichollsi","retroviridae",NA,0
"234","Ardops nichollsi-rhabdoviridae","Ardops nichollsi","rhabdoviridae",NA,0
"235","Ardops nichollsi-sedoreoviridae","Ardops nichollsi","sedoreoviridae",NA,0
"236","Ardops nichollsi-smacoviridae","Ardops nichollsi","smacoviridae",NA,0
"237","Ardops nichollsi-spinareoviridae","Ardops nichollsi","spinareoviridae",NA,0
"238","Ardops nichollsi-togaviridae","Ardops nichollsi","togaviridae",NA,0
"239","Ardops nichollsi-totiviridae","Ardops nichollsi","totiviridae",NA,0
"240","Ardops nichollsi-tymoviridae","Ardops nichollsi","tymoviridae",NA,0
"241","Artibeus cinereus-adamaviridae","Artibeus cinereus","adamaviridae",NA,0
"242","Artibeus cinereus-adenoviridae","Artibeus cinereus","adenoviridae",NA,0
"243","Artibeus cinereus-adintoviridae","Artibeus cinereus","adintoviridae",NA,0
"244","Artibeus cinereus-anelloviridae","Artibeus cinereus","anelloviridae",NA,0
"245","Artibeus cinereus-arenaviridae","Artibeus cinereus","arenaviridae",NA,0
"246","Artibeus cinereus-artoviridae","Artibeus cinereus","artoviridae",NA,0
"247","Artibeus cinereus-astroviridae","Artibeus cinereus","astroviridae",NA,0
"248","Artibeus cinereus-birnaviridae","Artibeus cinereus","birnaviridae",NA,0
"249","Artibeus cinereus-bornaviridae","Artibeus cinereus","bornaviridae",NA,0
"250","Artibeus cinereus-botourmiaviridae","Artibeus cinereus","botourmiaviridae",NA,0
"251","Artibeus cinereus-caliciviridae","Artibeus cinereus","caliciviridae",NA,0
"252","Artibeus cinereus-chuviridae","Artibeus cinereus","chuviridae",NA,0
"253","Artibeus cinereus-circoviridae","Artibeus cinereus","circoviridae",NA,0
"254","Artibeus cinereus-coronaviridae","Artibeus cinereus","coronaviridae",1,1
"255","Artibeus cinereus-filoviridae","Artibeus cinereus","filoviridae",NA,0
"256","Artibeus cinereus-flaviviridae","Artibeus cinereus","flaviviridae",NA,0
"257","Artibeus cinereus-geminiviridae","Artibeus cinereus","geminiviridae",NA,0
"258","Artibeus cinereus-genomoviridae","Artibeus cinereus","genomoviridae",NA,0
"259","Artibeus cinereus-hantaviridae","Artibeus cinereus","hantaviridae",NA,0
"260","Artibeus cinereus-hepadnaviridae","Artibeus cinereus","hepadnaviridae",NA,0
"261","Artibeus cinereus-hepeviridae","Artibeus cinereus","hepeviridae",NA,0
"262","Artibeus cinereus-kolmioviridae","Artibeus cinereus","kolmioviridae",NA,0
"263","Artibeus cinereus-mahapunaviridae","Artibeus cinereus","mahapunaviridae",NA,0
"264","Artibeus cinereus-matonaviridae","Artibeus cinereus","matonaviridae",NA,0
"265","Artibeus cinereus-nairoviridae","Artibeus cinereus","nairoviridae",NA,0
"266","Artibeus cinereus-nodaviridae","Artibeus cinereus","nodaviridae",NA,0
"267","Artibeus cinereus-nyamiviridae","Artibeus cinereus","nyamiviridae",NA,0
"268","Artibeus cinereus-orthoherpesviridae","Artibeus cinereus","orthoherpesviridae",NA,0
"269","Artibeus cinereus-orthomyxoviridae","Artibeus cinereus","orthomyxoviridae",NA,0
"270","Artibeus cinereus-papillomaviridae","Artibeus cinereus","papillomaviridae",NA,0
"271","Artibeus cinereus-paramyxoviridae","Artibeus cinereus","paramyxoviridae",NA,0
"272","Artibeus cinereus-partitiviridae","Artibeus cinereus","partitiviridae",NA,0
"273","Artibeus cinereus-parvoviridae","Artibeus cinereus","parvoviridae",NA,0
"274","Artibeus cinereus-peribunyaviridae","Artibeus cinereus","peribunyaviridae",NA,0
"275","Artibeus cinereus-phenuiviridae","Artibeus cinereus","phenuiviridae",NA,0
"276","Artibeus cinereus-picobirnaviridae","Artibeus cinereus","picobirnaviridae",NA,0
"277","Artibeus cinereus-picornaviridae","Artibeus cinereus","picornaviridae",NA,0
"278","Artibeus cinereus-polyomaviridae","Artibeus cinereus","polyomaviridae",NA,0
"279","Artibeus cinereus-poxviridae","Artibeus cinereus","poxviridae",NA,0
"280","Artibeus cinereus-qinviridae","Artibeus cinereus","qinviridae",NA,0
"281","Artibeus cinereus-retroviridae","Artibeus cinereus","retroviridae",NA,0
"282","Artibeus cinereus-rhabdoviridae","Artibeus cinereus","rhabdoviridae",NA,0
"283","Artibeus cinereus-sedoreoviridae","Artibeus cinereus","sedoreoviridae",NA,0
"284","Artibeus cinereus-smacoviridae","Artibeus cinereus","smacoviridae",NA,0
"285","Artibeus cinereus-spinareoviridae","Artibeus cinereus","spinareoviridae",NA,0
"286","Artibeus cinereus-togaviridae","Artibeus cinereus","togaviridae",NA,0
"287","Artibeus cinereus-totiviridae","Artibeus cinereus","totiviridae",NA,0
"288","Artibeus cinereus-tymoviridae","Artibeus cinereus","tymoviridae",NA,0
"289","Artibeus fimbriatus-adamaviridae","Artibeus fimbriatus","adamaviridae",NA,0
"290","Artibeus fimbriatus-adenoviridae","Artibeus fimbriatus","adenoviridae",NA,0
"291","Artibeus fimbriatus-adintoviridae","Artibeus fimbriatus","adintoviridae",NA,0
"292","Artibeus fimbriatus-anelloviridae","Artibeus fimbriatus","anelloviridae",NA,0
"293","Artibeus fimbriatus-arenaviridae","Artibeus fimbriatus","arenaviridae",NA,0
"294","Artibeus fimbriatus-artoviridae","Artibeus fimbriatus","artoviridae",NA,0
"295","Artibeus fimbriatus-astroviridae","Artibeus fimbriatus","astroviridae",NA,0
"296","Artibeus fimbriatus-birnaviridae","Artibeus fimbriatus","birnaviridae",NA,0
"297","Artibeus fimbriatus-bornaviridae","Artibeus fimbriatus","bornaviridae",NA,0
"298","Artibeus fimbriatus-botourmiaviridae","Artibeus fimbriatus","botourmiaviridae",NA,0
"299","Artibeus fimbriatus-caliciviridae","Artibeus fimbriatus","caliciviridae",NA,0
"300","Artibeus fimbriatus-chuviridae","Artibeus fimbriatus","chuviridae",NA,0
"301","Artibeus fimbriatus-circoviridae","Artibeus fimbriatus","circoviridae",NA,0
"302","Artibeus fimbriatus-coronaviridae","Artibeus fimbriatus","coronaviridae",NA,0
"303","Artibeus fimbriatus-filoviridae","Artibeus fimbriatus","filoviridae",NA,0
"304","Artibeus fimbriatus-flaviviridae","Artibeus fimbriatus","flaviviridae",NA,0
"305","Artibeus fimbriatus-geminiviridae","Artibeus fimbriatus","geminiviridae",NA,0
"306","Artibeus fimbriatus-genomoviridae","Artibeus fimbriatus","genomoviridae",NA,0
"307","Artibeus fimbriatus-hantaviridae","Artibeus fimbriatus","hantaviridae",NA,0
"308","Artibeus fimbriatus-hepadnaviridae","Artibeus fimbriatus","hepadnaviridae",NA,0
"309","Artibeus fimbriatus-hepeviridae","Artibeus fimbriatus","hepeviridae",NA,0
"310","Artibeus fimbriatus-kolmioviridae","Artibeus fimbriatus","kolmioviridae",NA,0
