"sp_links","Host","Virus","VirusFamily","zoonotic","fam_links"
"Rousettus leschenaultii-orthoreovirus nelsonense","Rousettus leschenaultii","orthoreovirus nelsonense","spinareoviridae",1,"Rousettus leschenaultii-spinareoviridae"
"Rousettus leschenaultii-partitiviridae sp.","Rousettus leschenaultii","partitiviridae sp.","partitiviridae",0,"Rousettus leschenaultii-partitiviridae"
"Rousettus leschenaultii-picobirnaviridae sp.","Rousettus leschenaultii","picobirnaviridae sp.","picobirnaviridae",1,"Rousettus leschenaultii-picobirnaviridae"
"Rousettus leschenaultii-picobirnavirus sp.","Rousettus leschenaultii","picobirnavirus sp.","picobirnaviridae",1,"Rousettus leschenaultii-picobirnaviridae"
"Rousettus leschenaultii-picornaviridae sp.","Rousettus leschenaultii","picornaviridae sp.","picornaviridae",1,"Rousettus leschenaultii-picornaviridae"
"Rousettus leschenaultii-polyomavirus 2","Rousettus leschenaultii","polyomavirus 2","polyomaviridae",0,"Rousettus leschenaultii-polyomaviridae"
"Rousettus leschenaultii-pteropine orthoreovirus","Rousettus leschenaultii","pteropine orthoreovirus","spinareoviridae",1,"Rousettus leschenaultii-spinareoviridae"
"Rousettus leschenaultii-pteropodidae bat sapelovirus","Rousettus leschenaultii","pteropodidae bat sapelovirus","picornaviridae",0,"Rousettus leschenaultii-picornaviridae"
"Rousettus leschenaultii-pteropodidae bat teschovirus","Rousettus leschenaultii","pteropodidae bat teschovirus","picornaviridae",0,"Rousettus leschenaultii-picornaviridae"
"Rousettus leschenaultii-rotavirus alphagastroenteritidis","Rousettus leschenaultii","rotavirus alphagastroenteritidis","sedoreoviridae",1,"Rousettus leschenaultii-sedoreoviridae"
"Rousettus leschenaultii-rousettus leschenaultii polyomavirus 1","Rousettus leschenaultii","rousettus leschenaultii polyomavirus 1","polyomaviridae",0,"Rousettus leschenaultii-polyomaviridae"
"Rousettus leschenaultii-rousettus leschenaultii polyomavirus 2","Rousettus leschenaultii","rousettus leschenaultii polyomavirus 2","polyomaviridae",0,"Rousettus leschenaultii-polyomaviridae"
"Rousettus leschenaultii-totiviridae sp.","Rousettus leschenaultii","totiviridae sp.","totiviridae",0,"Rousettus leschenaultii-totiviridae"
"Rousettus madagascariensis-astrovirus sp.","Rousettus madagascariensis","astrovirus sp.","astroviridae",1,"Rousettus madagascariensis-astroviridae"
"Rousettus madagascariensis-bat astrovirus","Rousettus madagascariensis","bat astrovirus","astroviridae",0,"Rousettus madagascariensis-astroviridae"
"Rousettus madagascariensis-bat coronavirus","Rousettus madagascariensis","bat coronavirus","coronaviridae",0,"Rousettus madagascariensis-coronaviridae"
"Rousettus madagascariensis-eidolon dupreanum sapelovirus 1","Rousettus madagascariensis","eidolon dupreanum sapelovirus 1","picornaviridae",0,"Rousettus madagascariensis-picornaviridae"
"Rousettus madagascariensis-lyssavirus rabies","Rousettus madagascariensis","lyssavirus rabies","rhabdoviridae",1,"Rousettus madagascariensis-rhabdoviridae"
"Rousettus madagascariensis-rousettus madagascariensis nobecovirus","Rousettus madagascariensis","rousettus madagascariensis nobecovirus","coronaviridae",0,"Rousettus madagascariensis-coronaviridae"
"Rousettus madagascariensis-rousettus madagascariensis sapelovirus 1","Rousettus madagascariensis","rousettus madagascariensis sapelovirus 1","picornaviridae",0,"Rousettus madagascariensis-picornaviridae"
"Rousettus madagascariensis-rousettus madagascariensis sapovirus 2","Rousettus madagascariensis","rousettus madagascariensis sapovirus 2","caliciviridae",0,"Rousettus madagascariensis-caliciviridae"
"Rousettus madagascariensis-rousettus madagascariensis sapovirus 3","Rousettus madagascariensis","rousettus madagascariensis sapovirus 3","caliciviridae",0,"Rousettus madagascariensis-caliciviridae"
"Rousettus madagascariensis-rousettus madagascariensis teschovirus 1","Rousettus madagascariensis","rousettus madagascariensis teschovirus 1","picornaviridae",0,"Rousettus madagascariensis-picornaviridae"
"Rousettus madagascariensis-rousettus madagascariensis teschovirus 2","Rousettus madagascariensis","rousettus madagascariensis teschovirus 2","picornaviridae",0,"Rousettus madagascariensis-picornaviridae"
"Rousettus sp.-bat coronavirus","Rousettus sp.","bat coronavirus","coronaviridae",0,"Rousettus sp.-coronaviridae"
"Rousettus sp.-bat filovirus","Rousettus sp.","bat filovirus","filoviridae",0,"Rousettus sp.-filoviridae"
"Rousettus sp.-betacoronavirus rousetti","Rousettus sp.","betacoronavirus rousetti","coronaviridae",0,"Rousettus sp.-coronaviridae"
"Rousettus sp.-betacoronavirus sp.","Rousettus sp.","betacoronavirus sp.","coronaviridae",0,"Rousettus sp.-coronaviridae"
"Rousettus sp.-dianlovirus menglaense","Rousettus sp.","dianlovirus menglaense","filoviridae",0,"Rousettus sp.-filoviridae"
"Rousettus sp.-mamastrovirus sp.","Rousettus sp.","mamastrovirus sp.","astroviridae",1,"Rousettus sp.-astroviridae"
"Saccolaimus flaviventris-lyssavirus australis","Saccolaimus flaviventris","lyssavirus australis","rhabdoviridae",1,"Saccolaimus flaviventris-rhabdoviridae"
"Saccolaimus saccolaimus-lyssavirus australis","Saccolaimus saccolaimus","lyssavirus australis","rhabdoviridae",1,"Saccolaimus saccolaimus-rhabdoviridae"
"Saccopteryx bilineata-saccopteryx bilineata betaherpesvirus","Saccopteryx bilineata","saccopteryx bilineata betaherpesvirus","orthoherpesviridae",0,"Saccopteryx bilineata-orthoherpesviridae"
"Scotophilus dinganii-bat alphacoronavirus","Scotophilus dinganii","bat alphacoronavirus","coronaviridae",0,"Scotophilus dinganii-coronaviridae"
"Scotophilus dinganii-bat astrovirus","Scotophilus dinganii","bat astrovirus","astroviridae",0,"Scotophilus dinganii-astroviridae"
"Scotophilus dinganii-pegivirus scotophili","Scotophilus dinganii","pegivirus scotophili","flaviviridae",0,"Scotophilus dinganii-flaviviridae"
"Scotophilus dinganii-scotophilus dinganii alphacoronavirus","Scotophilus dinganii","scotophilus dinganii alphacoronavirus","coronaviridae",0,"Scotophilus dinganii-coronaviridae"
"Scotophilus heathii-bat coronavirus","Scotophilus heathii","bat coronavirus","coronaviridae",0,"Scotophilus heathii-coronaviridae"
"Scotophilus kuhlii-alphacoronavirus scotophili","Scotophilus kuhlii","alphacoronavirus scotophili","coronaviridae",0,"Scotophilus kuhlii-coronaviridae"
"Scotophilus kuhlii-alphacoronavirus sp.","Scotophilus kuhlii","alphacoronavirus sp.","coronaviridae",0,"Scotophilus kuhlii-coronaviridae"
"Scotophilus kuhlii-alphavirus chikungunya","Scotophilus kuhlii","alphavirus chikungunya","togaviridae",1,"Scotophilus kuhlii-togaviridae"
"Scotophilus kuhlii-bat associated rhabdovirus 8","Scotophilus kuhlii","bat associated rhabdovirus 8","rhabdoviridae",0,"Scotophilus kuhlii-rhabdoviridae"
"Scotophilus kuhlii-bat astrovirus","Scotophilus kuhlii","bat astrovirus","astroviridae",0,"Scotophilus kuhlii-astroviridae"
"Scotophilus kuhlii-bat coronavirus","Scotophilus kuhlii","bat coronavirus","coronaviridae",0,"Scotophilus kuhlii-coronaviridae"
"Scotophilus kuhlii-bat coronavirus 1","Scotophilus kuhlii","bat coronavirus 1","coronaviridae",0,"Scotophilus kuhlii-coronaviridae"
"Scotophilus kuhlii-bat coronavirus 512","Scotophilus kuhlii","bat coronavirus 512","coronaviridae",0,"Scotophilus kuhlii-coronaviridae"
"Scotophilus kuhlii-bat kobuvirus","Scotophilus kuhlii","bat kobuvirus","picornaviridae",0,"Scotophilus kuhlii-picornaviridae"
"Scotophilus kuhlii-bat mastadenovirus","Scotophilus kuhlii","bat mastadenovirus","adenoviridae",0,"Scotophilus kuhlii-adenoviridae"
"Scotophilus kuhlii-bat mastadenovirus a","Scotophilus kuhlii","bat mastadenovirus a","adenoviridae",0,"Scotophilus kuhlii-adenoviridae"
"Scotophilus kuhlii-bat papillomavirus","Scotophilus kuhlii","bat papillomavirus","papillomaviridae",0,"Scotophilus kuhlii-papillomaviridae"
"Scotophilus kuhlii-bat polyomavirus","Scotophilus kuhlii","bat polyomavirus","polyomaviridae",0,"Scotophilus kuhlii-polyomaviridae"
"Scotophilus kuhlii-bat sapovirus","Scotophilus kuhlii","bat sapovirus","caliciviridae",0,"Scotophilus kuhlii-caliciviridae"
"Scotophilus kuhlii-bat spumavirus 2","Scotophilus kuhlii","bat spumavirus 2","retroviridae",0,"Scotophilus kuhlii-retroviridae"
"Scotophilus kuhlii-chirohepevirus sp.","Scotophilus kuhlii","chirohepevirus sp.","hepeviridae",0,"Scotophilus kuhlii-hepeviridae"
"Scotophilus kuhlii-circovirus sp.","Scotophilus kuhlii","circovirus sp.","circoviridae",0,"Scotophilus kuhlii-circoviridae"
"Scotophilus kuhlii-cyclovirus sp.","Scotophilus kuhlii","cyclovirus sp.","circoviridae",1,"Scotophilus kuhlii-circoviridae"
"Scotophilus kuhlii-dependoparvovirus chiropteran1","Scotophilus kuhlii","dependoparvovirus chiropteran1","parvoviridae",0,"Scotophilus kuhlii-parvoviridae"
"Scotophilus kuhlii-dyoxipapillomavirus 1","Scotophilus kuhlii","dyoxipapillomavirus 1","papillomaviridae",0,"Scotophilus kuhlii-papillomaviridae"
"Scotophilus kuhlii-genomoviridae sp.","Scotophilus kuhlii","genomoviridae sp.","genomoviridae",1,"Scotophilus kuhlii-genomoviridae"
"Scotophilus kuhlii-hamaparvovirinae sp.","Scotophilus kuhlii","hamaparvovirinae sp.","parvoviridae",0,"Scotophilus kuhlii-parvoviridae"
"Scotophilus kuhlii-jeilongvirus murinae","Scotophilus kuhlii","jeilongvirus murinae","paramyxoviridae",0,"Scotophilus kuhlii-paramyxoviridae"
"Scotophilus kuhlii-kobuvirus sp.","Scotophilus kuhlii","kobuvirus sp.","picornaviridae",1,"Scotophilus kuhlii-picornaviridae"
"Scotophilus kuhlii-mamastrovirus hominis","Scotophilus kuhlii","mamastrovirus hominis","astroviridae",1,"Scotophilus kuhlii-astroviridae"
"Scotophilus kuhlii-mamastrovirus sp.","Scotophilus kuhlii","mamastrovirus sp.","astroviridae",1,"Scotophilus kuhlii-astroviridae"
"Scotophilus kuhlii-orthoflavivirus japonicum","Scotophilus kuhlii","orthoflavivirus japonicum","flaviviridae",1,"Scotophilus kuhlii-flaviviridae"
"Scotophilus kuhlii-orthonairovirus issykkulense","Scotophilus kuhlii","orthonairovirus issykkulense","nairoviridae",0,"Scotophilus kuhlii-nairoviridae"
"Scotophilus kuhlii-phenuiviridae sp.","Scotophilus kuhlii","phenuiviridae sp.","phenuiviridae",0,"Scotophilus kuhlii-phenuiviridae"
"Scotophilus kuhlii-picornaviridae sp.","Scotophilus kuhlii","picornaviridae sp.","picornaviridae",1,"Scotophilus kuhlii-picornaviridae"
"Scotophilus kuhlii-scotophilus bat coronavirus","Scotophilus kuhlii","scotophilus bat coronavirus","coronaviridae",0,"Scotophilus kuhlii-coronaviridae"
"Scotophilus kuhlii-scotophilus bat parechovirus","Scotophilus kuhlii","scotophilus bat parechovirus","picornaviridae",0,"Scotophilus kuhlii-picornaviridae"
"Scotophilus kuhlii-scotophilus bat pestivirus","Scotophilus kuhlii","scotophilus bat pestivirus","flaviviridae",0,"Scotophilus kuhlii-flaviviridae"
"Scotophilus kuhlii-scotophilus kuhlii bat coronavirus 512-related","Scotophilus kuhlii","scotophilus kuhlii bat coronavirus 512-related","coronaviridae",0,"Scotophilus kuhlii-coronaviridae"
"Scotophilus kuhlii-scotophilus kuhlii coronavirus","Scotophilus kuhlii","scotophilus kuhlii coronavirus","coronaviridae",0,"Scotophilus kuhlii-coronaviridae"
"Scotophilus kuhlii-scotophilus kuhlii papillomavirus 1","Scotophilus kuhlii","scotophilus kuhlii papillomavirus 1","papillomaviridae",0,"Scotophilus kuhlii-papillomaviridae"
"Scotophilus kuhlii-scotophilus kuhlii parechovirus","Scotophilus kuhlii","scotophilus kuhlii parechovirus","picornaviridae",0,"Scotophilus kuhlii-picornaviridae"
"Scotophilus kuhlii-scotophilus kuhlii picornavirus","Scotophilus kuhlii","scotophilus kuhlii picornavirus","picornaviridae",0,"Scotophilus kuhlii-picornaviridae"
"Scotophilus kuhlii-scotophilus kuhlii polyomavirus 1","Scotophilus kuhlii","scotophilus kuhlii polyomavirus 1","polyomaviridae",0,"Scotophilus kuhlii-polyomaviridae"
"Scotophilus kuhlii-scotophilus kuhlii polyomavirus 2","Scotophilus kuhlii","scotophilus kuhlii polyomavirus 2","polyomaviridae",0,"Scotophilus kuhlii-polyomaviridae"
"Scotophilus kuhlii-scotophilus kuhlii polyomavirus 3","Scotophilus kuhlii","scotophilus kuhlii polyomavirus 3","polyomaviridae",0,"Scotophilus kuhlii-polyomaviridae"
"Scotophilus nigrita-orthoflavivirus dakarense","Scotophilus nigrita","orthoflavivirus dakarense","flaviviridae",1,"Scotophilus nigrita-flaviviridae"
"Sturnira angeli-sturnira angeli gammaherpesvirus 1","Sturnira angeli","sturnira angeli gammaherpesvirus 1","orthoherpesviridae",0,"Sturnira angeli-orthoherpesviridae"
"Sturnira lilium-alphacoronavirus sp.","Sturnira lilium","alphacoronavirus sp.","coronaviridae",0,"Sturnira lilium-coronaviridae"
"Sturnira lilium-alphainfluenzavirus influenzae","Sturnira lilium","alphainfluenzavirus influenzae","orthomyxoviridae",1,"Sturnira lilium-orthomyxoviridae"
"Sturnira lilium-alphapolyomavirus sturnirae","Sturnira lilium","alphapolyomavirus sturnirae","polyomaviridae",0,"Sturnira lilium-polyomaviridae"
"Sturnira lilium-bat alphacoronavirus","Sturnira lilium","bat alphacoronavirus","coronaviridae",0,"Sturnira lilium-coronaviridae"
"Sturnira lilium-bat coronavirus","Sturnira lilium","bat coronavirus","coronaviridae",0,"Sturnira lilium-coronaviridae"
"Sturnira lilium-bat mastadenovirus","Sturnira lilium","bat mastadenovirus","adenoviridae",0,"Sturnira lilium-adenoviridae"
"Sturnira lilium-bat papillomavirus","Sturnira lilium","bat papillomavirus","papillomaviridae",0,"Sturnira lilium-papillomaviridae"
"Sturnira lilium-mamastrovirus sp.","Sturnira lilium","mamastrovirus sp.","astroviridae",1,"Sturnira lilium-astroviridae"
"Sturnira lilium-orthorubulavirus mapueraense","Sturnira lilium","orthorubulavirus mapueraense","paramyxoviridae",0,"Sturnira lilium-paramyxoviridae"
"Sturnira lilium-paramyxoviridae sp.","Sturnira lilium","paramyxoviridae sp.","paramyxoviridae",0,"Sturnira lilium-paramyxoviridae"
"Sturnira lilium-pegivirus sturnirae","Sturnira lilium","pegivirus sturnirae","flaviviridae",0,"Sturnira lilium-flaviviridae"
"Sturnira lilium-sturnira lilium adenovirus","Sturnira lilium","sturnira lilium adenovirus","adenoviridae",0,"Sturnira lilium-adenoviridae"
"Sturnira lilium-sturnira lilium betaherpesvirus","Sturnira lilium","sturnira lilium betaherpesvirus","orthoherpesviridae",0,"Sturnira lilium-orthoherpesviridae"
"Sturnira ludovici-pegivirus pteropi","Sturnira ludovici","pegivirus pteropi","flaviviridae",0,"Sturnira ludovici-flaviviridae"
"Sturnira parvidens-alphavirus chikungunya","Sturnira parvidens","alphavirus chikungunya","togaviridae",1,"Sturnira parvidens-togaviridae"
"Sturnira parvidens-bat alphacoronavirus","Sturnira parvidens","bat alphacoronavirus","coronaviridae",0,"Sturnira parvidens-coronaviridae"
"Sturnira parvidens-orthoflavivirus denguei","Sturnira parvidens","orthoflavivirus denguei","flaviviridae",1,"Sturnira parvidens-flaviviridae"
"Sturnira parvidens-orthoflavivirus zikaense","Sturnira parvidens","orthoflavivirus zikaense","flaviviridae",1,"Sturnira parvidens-flaviviridae"
"Sturnira tildae-sturnira tildae betaherpesvirus 1","Sturnira tildae","sturnira tildae betaherpesvirus 1","orthoherpesviridae",0,"Sturnira tildae-orthoherpesviridae"
"Submyotodon latirostris-betacoronavirus pandemicum","Submyotodon latirostris","betacoronavirus pandemicum","coronaviridae",1,"Submyotodon latirostris-coronaviridae"
"Syconycteris australis-japanaut virus","Syconycteris australis","japanaut virus","sedoreoviridae",0,"Syconycteris australis-sedoreoviridae"
"Syconycteris australis-syconycteris australis gammaretrovirus","Syconycteris australis","syconycteris australis gammaretrovirus","retroviridae",0,"Syconycteris australis-retroviridae"
"Tadarida brasiliensis-alphacoronavirus sp.","Tadarida brasiliensis","alphacoronavirus sp.","coronaviridae",0,"Tadarida brasiliensis-coronaviridae"
"Tadarida brasiliensis-alphavirus negro","Tadarida brasiliensis","alphavirus negro","togaviridae",0,"Tadarida brasiliensis-togaviridae"
"Tadarida brasiliensis-bat astrovirus","Tadarida brasiliensis","bat astrovirus","astroviridae",0,"Tadarida brasiliensis-astroviridae"
"Tadarida brasiliensis-bat coronavirus","Tadarida brasiliensis","bat coronavirus","coronaviridae",0,"Tadarida brasiliensis-coronaviridae"
"Tadarida brasiliensis-betacoronavirus pandemicum","Tadarida brasiliensis","betacoronavirus pandemicum","coronaviridae",1,"Tadarida brasiliensis-coronaviridae"
"Tadarida brasiliensis-betaherpesvirinae sp.","Tadarida brasiliensis","betaherpesvirinae sp.","orthoherpesviridae",0,"Tadarida brasiliensis-orthoherpesviridae"
"Tadarida brasiliensis-circovirus bastao","Tadarida brasiliensis","circovirus bastao","circoviridae",0,"Tadarida brasiliensis-circoviridae"
"Tadarida brasiliensis-cyclovirus fledermoyz","Tadarida brasiliensis","cyclovirus fledermoyz","circoviridae",0,"Tadarida brasiliensis-circoviridae"
"Tadarida brasiliensis-cyclovirus saguza","Tadarida brasiliensis","cyclovirus saguza","circoviridae",0,"Tadarida brasiliensis-circoviridae"
"Tadarida brasiliensis-cyclovirus sawya","Tadarida brasiliensis","cyclovirus sawya","circoviridae",0,"Tadarida brasiliensis-circoviridae"
"Tadarida brasiliensis-cyclovirus vespertilio","Tadarida brasiliensis","cyclovirus vespertilio","circoviridae",0,"Tadarida brasiliensis-circoviridae"
"Tadarida brasiliensis-cyclovirus vleermuis","Tadarida brasiliensis","cyclovirus vleermuis","circoviridae",0,"Tadarida brasiliensis-circoviridae"
"Tadarida brasiliensis-cyclovirus ystlum","Tadarida brasiliensis","cyclovirus ystlum","circoviridae",0,"Tadarida brasiliensis-circoviridae"
"Tadarida brasiliensis-gammaherpesvirinae sp.","Tadarida brasiliensis","gammaherpesvirinae sp.","orthoherpesviridae",0,"Tadarida brasiliensis-orthoherpesviridae"
"Tadarida brasiliensis-lyssavirus rabies","Tadarida brasiliensis","lyssavirus rabies","rhabdoviridae",1,"Tadarida brasiliensis-rhabdoviridae"
"Tadarida brasiliensis-murine leukemia virus","Tadarida brasiliensis","murine leukemia virus","retroviridae",1,"Tadarida brasiliensis-retroviridae"
"Tadarida brasiliensis-orthoflavivirus bravoense","Tadarida brasiliensis","orthoflavivirus bravoense","flaviviridae",0,"Tadarida brasiliensis-flaviviridae"
"Tadarida brasiliensis-orthoflavivirus louisense","Tadarida brasiliensis","orthoflavivirus louisense","flaviviridae",1,"Tadarida brasiliensis-flaviviridae"
"Tadarida brasiliensis-paramyxoviridae sp.","Tadarida brasiliensis","paramyxoviridae sp.","paramyxoviridae",0,"Tadarida brasiliensis-paramyxoviridae"
"Tadarida brasiliensis-tadarida associated gemykibivirus 1","Tadarida brasiliensis","tadarida associated gemykibivirus 1","genomoviridae",0,"Tadarida brasiliensis-genomoviridae"
"Tadarida brasiliensis-tadarida betaherpesvirus","Tadarida brasiliensis","tadarida betaherpesvirus","orthoherpesviridae",0,"Tadarida brasiliensis-orthoherpesviridae"
"Tadarida brasiliensis-tadarida brasiliensis associated circovirus 1","Tadarida brasiliensis","tadarida brasiliensis associated circovirus 1","circoviridae",0,"Tadarida brasiliensis-circoviridae"
"Tadarida brasiliensis-tadarida brasiliensis associated dependoparvovirus","Tadarida brasiliensis","tadarida brasiliensis associated dependoparvovirus","parvoviridae",0,"Tadarida brasiliensis-parvoviridae"
"Tadarida brasiliensis-tadarida brasiliensis astrovirus","Tadarida brasiliensis","tadarida brasiliensis astrovirus","astroviridae",0,"Tadarida brasiliensis-astroviridae"
"Tadarida brasiliensis-tadarida brasiliensis bat alphacoronavirus","Tadarida brasiliensis","tadarida brasiliensis bat alphacoronavirus","coronaviridae",0,"Tadarida brasiliensis-coronaviridae"
"Tadarida brasiliensis-tadarida brasiliensis bat alphacoronavirus 1","Tadarida brasiliensis","tadarida brasiliensis bat alphacoronavirus 1","coronaviridae",0,"Tadarida brasiliensis-coronaviridae"
"Tadarida brasiliensis-tadarida brasiliensis bat alphacoronavirus 2","Tadarida brasiliensis","tadarida brasiliensis bat alphacoronavirus 2","coronaviridae",0,"Tadarida brasiliensis-coronaviridae"
"Tadarida brasiliensis-tadarida brasiliensis betaherpesvirus 1","Tadarida brasiliensis","tadarida brasiliensis betaherpesvirus 1","orthoherpesviridae",0,"Tadarida brasiliensis-orthoherpesviridae"
"Tadarida brasiliensis-tadarida brasiliensis coronavirus","Tadarida brasiliensis","tadarida brasiliensis coronavirus","coronaviridae",0,"Tadarida brasiliensis-coronaviridae"
"Tadarida brasiliensis-tadarida brasiliensis gammaherpesvirus 1","Tadarida brasiliensis","tadarida brasiliensis gammaherpesvirus 1","orthoherpesviridae",0,"Tadarida brasiliensis-orthoherpesviridae"
"Tadarida brasiliensis-tadarida brasiliensis gammaherpesvirus 2","Tadarida brasiliensis","tadarida brasiliensis gammaherpesvirus 2","orthoherpesviridae",0,"Tadarida brasiliensis-orthoherpesviridae"
"Tadarida brasiliensis-tadarida brasiliensis gemykibivirus 1","Tadarida brasiliensis","tadarida brasiliensis gemykibivirus 1","genomoviridae",0,"Tadarida brasiliensis-genomoviridae"
"Tadarida brasiliensis-tadarida brasiliensis orthoherpesvirus","Tadarida brasiliensis","tadarida brasiliensis orthoherpesvirus","orthoherpesviridae",0,"Tadarida brasiliensis-orthoherpesviridae"
"Tadarida brasiliensis-tadarida brasiliensis papillomavirus","Tadarida brasiliensis","tadarida brasiliensis papillomavirus","papillomaviridae",0,"Tadarida brasiliensis-papillomaviridae"
"Tadarida brasiliensis-tadarida brasiliensis papillomavirus 1","Tadarida brasiliensis","tadarida brasiliensis papillomavirus 1","papillomaviridae",0,"Tadarida brasiliensis-papillomaviridae"
"Tadarida brasiliensis-tadarida brasiliensis papillomavirus 2","Tadarida brasiliensis","tadarida brasiliensis papillomavirus 2","papillomaviridae",0,"Tadarida brasiliensis-papillomaviridae"
"Tadarida brasiliensis-tadarida brasiliensis papillomavirus 3","Tadarida brasiliensis","tadarida brasiliensis papillomavirus 3","papillomaviridae",0,"Tadarida brasiliensis-papillomaviridae"
"Tadarida brasiliensis-tadarida brasiliensis paramyxovirus","Tadarida brasiliensis","tadarida brasiliensis paramyxovirus","paramyxoviridae",0,"Tadarida brasiliensis-paramyxoviridae"
"Tadarida brasiliensis-tadarida brasiliensis polyomavirus 1","Tadarida brasiliensis","tadarida brasiliensis polyomavirus 1","polyomaviridae",0,"Tadarida brasiliensis-polyomaviridae"
"Tadarida brasiliensis-tadarida brasiliensis polyomavirus 2","Tadarida brasiliensis","tadarida brasiliensis polyomavirus 2","polyomaviridae",0,"Tadarida brasiliensis-polyomaviridae"
"Tadarida brasiliensis-tadarida gammaherpesvirus","Tadarida brasiliensis","tadarida gammaherpesvirus","orthoherpesviridae",0,"Tadarida brasiliensis-orthoherpesviridae"
"Tadarida brasiliensis-thebevirus arielis","Tadarida brasiliensis","thebevirus arielis","mahapunaviridae",0,"Tadarida brasiliensis-mahapunaviridae"
"Tadarida brasiliensis-xitorquevirus molos1","Tadarida brasiliensis","xitorquevirus molos1","anelloviridae",0,"Tadarida brasiliensis-anelloviridae"
"Tadarida insignis-partitiviridae sp.","Tadarida insignis","partitiviridae sp.","partitiviridae",0,"Tadarida insignis-partitiviridae"
"Tadarida insignis-picornaviridae sp.","Tadarida insignis","picornaviridae sp.","picornaviridae",1,"Tadarida insignis-picornaviridae"
"Tadarida teniotis-gammaherpesvirinae sp.","Tadarida teniotis","gammaherpesvirinae sp.","orthoherpesviridae",0,"Tadarida teniotis-orthoherpesviridae"
"Tadarida teniotis-mammalian orthoreovirus","Tadarida teniotis","mammalian orthoreovirus","spinareoviridae",1,"Tadarida teniotis-spinareoviridae"
"Tadarida teniotis-tadarida teniotis betaherpesvirus 1","Tadarida teniotis","tadarida teniotis betaherpesvirus 1","orthoherpesviridae",0,"Tadarida teniotis-orthoherpesviridae"
"Tadarida teniotis-tadarida teniotis betaherpesvirus 2","Tadarida teniotis","tadarida teniotis betaherpesvirus 2","orthoherpesviridae",0,"Tadarida teniotis-orthoherpesviridae"
"Tadarida teniotis-tadarida teniotis betaherpesvirus 3","Tadarida teniotis","tadarida teniotis betaherpesvirus 3","orthoherpesviridae",0,"Tadarida teniotis-orthoherpesviridae"
"Tadarida teniotis-tadarida teniotis gammaherpesvirus 1","Tadarida teniotis","tadarida teniotis gammaherpesvirus 1","orthoherpesviridae",0,"Tadarida teniotis-orthoherpesviridae"
"Taphozous hildegardeae-taphozous bat adenovirus","Taphozous hildegardeae","taphozous bat adenovirus","adenoviridae",0,"Taphozous hildegardeae-adenoviridae"
"Taphozous hildegardeae-taphozous bat calicivirus","Taphozous hildegardeae","taphozous bat calicivirus","caliciviridae",0,"Taphozous hildegardeae-caliciviridae"
"Taphozous hildegardeae-taphozous bat parvovirus","Taphozous hildegardeae","taphozous bat parvovirus","parvoviridae",0,"Taphozous hildegardeae-parvoviridae"
"Taphozous mauritianus-bat orthoparamyxovirinae sp.","Taphozous mauritianus","bat orthoparamyxovirinae sp.","paramyxoviridae",0,"Taphozous mauritianus-paramyxoviridae"
"Taphozous mauritianus-bat rotavirus","Taphozous mauritianus","bat rotavirus","sedoreoviridae",0,"Taphozous mauritianus-sedoreoviridae"
"Taphozous melanopogon-bat astrovirus","Taphozous melanopogon","bat astrovirus","astroviridae",0,"Taphozous melanopogon-astroviridae"
"Taphozous melanopogon-bat calicivirus","Taphozous melanopogon","bat calicivirus","caliciviridae",0,"Taphozous melanopogon-caliciviridae"
"Taphozous melanopogon-bat coronavirus","Taphozous melanopogon","bat coronavirus","coronaviridae",0,"Taphozous melanopogon-coronaviridae"
"Taphozous melanopogon-bat gammaretrovirus","Taphozous melanopogon","bat gammaretrovirus","retroviridae",0,"Taphozous melanopogon-retroviridae"
"Taphozous melanopogon-bat picornavirus 7","Taphozous melanopogon","bat picornavirus 7","picornaviridae",0,"Taphozous melanopogon-picornaviridae"
"Taphozous melanopogon-bat polyomavirus","Taphozous melanopogon","bat polyomavirus","polyomaviridae",0,"Taphozous melanopogon-polyomaviridae"
"Taphozous melanopogon-bat polyomavirus 4","Taphozous melanopogon","bat polyomavirus 4","polyomaviridae",0,"Taphozous melanopogon-polyomaviridae"
"Taphozous melanopogon-bat sapovirus","Taphozous melanopogon","bat sapovirus","caliciviridae",0,"Taphozous melanopogon-caliciviridae"
"Taphozous melanopogon-bat-associated fijivirus","Taphozous melanopogon","bat-associated fijivirus","spinareoviridae",0,"Taphozous melanopogon-spinareoviridae"
"Taphozous melanopogon-bat-associated rotavirus","Taphozous melanopogon","bat-associated rotavirus","sedoreoviridae",0,"Taphozous melanopogon-sedoreoviridae"
"Taphozous melanopogon-betacoronavirus sp.","Taphozous melanopogon","betacoronavirus sp.","coronaviridae",0,"Taphozous melanopogon-coronaviridae"
"Taphozous melanopogon-bocaparvovirus sp.","Taphozous melanopogon","bocaparvovirus sp.","parvoviridae",1,"Taphozous melanopogon-parvoviridae"
"Taphozous melanopogon-caliciviridae sp.","Taphozous melanopogon","caliciviridae sp.","caliciviridae",1,"Taphozous melanopogon-caliciviridae"
"Taphozous melanopogon-chuviridae sp.","Taphozous melanopogon","chuviridae sp.","chuviridae",0,"Taphozous melanopogon-chuviridae"
"Taphozous melanopogon-genomoviridae sp.","Taphozous melanopogon","genomoviridae sp.","genomoviridae",1,"Taphozous melanopogon-genomoviridae"
