"sp_links","Host","Virus","VirusFamily","zoonotic","fam_links"
"Hipposideros lekaguli-paramyxovirus predict_pmv-14","Hipposideros lekaguli","paramyxovirus predict_pmv-14","paramyxoviridae",0,"Hipposideros lekaguli-paramyxoviridae"
"Hipposideros lekaguli-paramyxovirus predict_pmv-17","Hipposideros lekaguli","paramyxovirus predict_pmv-17","paramyxoviridae",0,"Hipposideros lekaguli-paramyxoviridae"
"Hipposideros lekaguli-paramyxovirus predict_pmv-27","Hipposideros lekaguli","paramyxovirus predict_pmv-27","paramyxoviridae",0,"Hipposideros lekaguli-paramyxoviridae"
"Hipposideros pomona-bat coronavirus hku10","Hipposideros pomona","bat coronavirus hku10","coronaviridae",0,"Hipposideros pomona-coronaviridae"
"Hipposideros pratti-rhinolophus bat coronavirus hku2","Hipposideros pratti","rhinolophus bat coronavirus hku2","coronaviridae",0,"Hipposideros pratti-coronaviridae"
"Hipposideros ruber-coronavirus predict cov-20","Hipposideros ruber","coronavirus predict cov-20","coronaviridae",0,"Hipposideros ruber-coronaviridae"
"Hipposideros ruber-coronavirus predict cov-44","Hipposideros ruber","coronavirus predict cov-44","coronaviridae",0,"Hipposideros ruber-coronaviridae"
"Hipposideros ruber-human coronavirus 229e","Hipposideros ruber","human coronavirus 229e","coronaviridae",1,"Hipposideros ruber-coronaviridae"
"Hipposideros ruber-kenya bat coronavirus/btky56/btky55","Hipposideros ruber","kenya bat coronavirus/btky56/btky55","coronaviridae",0,"Hipposideros ruber-coronaviridae"
"Hipposideros ruber-paramyxovirus predict_pmv-127","Hipposideros ruber","paramyxovirus predict_pmv-127","paramyxoviridae",0,"Hipposideros ruber-paramyxoviridae"
"Hipposideros ruber-paramyxovirus predict_pmv-133","Hipposideros ruber","paramyxovirus predict_pmv-133","paramyxoviridae",0,"Hipposideros ruber-paramyxoviridae"
"Hipposideros ruber-paramyxovirus predict_pmv-138","Hipposideros ruber","paramyxovirus predict_pmv-138","paramyxoviridae",0,"Hipposideros ruber-paramyxoviridae"
"Hipposideros ruber-paramyxovirus predict_pmv-147","Hipposideros ruber","paramyxovirus predict_pmv-147","paramyxoviridae",0,"Hipposideros ruber-paramyxoviridae"
"Hipposideros ruber-paramyxovirus predict_pmv-152","Hipposideros ruber","paramyxovirus predict_pmv-152","paramyxoviridae",0,"Hipposideros ruber-paramyxoviridae"
"Hipposideros ruber-paramyxovirus predict_pmv-161","Hipposideros ruber","paramyxovirus predict_pmv-161","paramyxoviridae",0,"Hipposideros ruber-paramyxoviridae"
"Hipposideros ruber-paramyxovirus predict_pmv-163","Hipposideros ruber","paramyxovirus predict_pmv-163","paramyxoviridae",0,"Hipposideros ruber-paramyxoviridae"
"Hipposideros ruber-paramyxovirus predict_pmv-24","Hipposideros ruber","paramyxovirus predict_pmv-24","paramyxoviridae",0,"Hipposideros ruber-paramyxoviridae"
"Hipposideros ruber-paramyxovirus predict_pmv-79","Hipposideros ruber","paramyxovirus predict_pmv-79","paramyxoviridae",0,"Hipposideros ruber-paramyxoviridae"
"Hipposideros ruber-paramyxovirus predict_pmv-97","Hipposideros ruber","paramyxovirus predict_pmv-97","paramyxoviridae",0,"Hipposideros ruber-paramyxoviridae"
"Hypsignathus monstrosus-bat mastadenovirus","Hypsignathus monstrosus","bat mastadenovirus","adenoviridae",0,"Hypsignathus monstrosus-adenoviridae"
"Ia io-mamastrovirus 19","Ia io","mamastrovirus 19","astroviridae",0,"Ia io-astroviridae"
"Ia io-paramyxovirus predict_pmv-47","Ia io","paramyxovirus predict_pmv-47","paramyxoviridae",0,"Ia io-paramyxoviridae"
"Ia io-vespertilionid betacoronavirus","Ia io","vespertilionid betacoronavirus","coronaviridae",0,"Ia io-coronaviridae"
"Lichonycteris obscura-coronavirus predict cov-13","Lichonycteris obscura","coronavirus predict cov-13","coronaviridae",0,"Lichonycteris obscura-coronaviridae"
"Lonchorhina aurita-coronavirus mex_cov-3","Lonchorhina aurita","coronavirus mex_cov-3","coronaviridae",0,"Lonchorhina aurita-coronaviridae"
"Lyroderma lyra-paramyxovirus predict_pmv-104","Lyroderma lyra","paramyxovirus predict_pmv-104","paramyxoviridae",0,"Lyroderma lyra-paramyxoviridae"
"Macroglossus sobrinus-adenovirus predict_adv-27","Macroglossus sobrinus","adenovirus predict_adv-27","adenoviridae",0,"Macroglossus sobrinus-adenoviridae"
"Macroglossus sobrinus-mamastrovirus 9","Macroglossus sobrinus","mamastrovirus 9","astroviridae",0,"Macroglossus sobrinus-astroviridae"
"Macronycteris commersonii-adenovirus predict_adv-40","Macronycteris commersonii","adenovirus predict_adv-40","adenoviridae",0,"Macronycteris commersonii-adenoviridae"
"Macronycteris commersonii-adenovirus predict_adv-41","Macronycteris commersonii","adenovirus predict_adv-41","adenoviridae",0,"Macronycteris commersonii-adenoviridae"
"Macronycteris gigas-adenovirus predict_adv-41","Macronycteris gigas","adenovirus predict_adv-41","adenoviridae",0,"Macronycteris gigas-adenoviridae"
"Macronycteris gigas-paramyxovirus predict_pmv-80","Macronycteris gigas","paramyxovirus predict_pmv-80","paramyxoviridae",0,"Macronycteris gigas-paramyxoviridae"
"Macronycteris gigas-paramyxovirus predict_pmv-82","Macronycteris gigas","paramyxovirus predict_pmv-82","paramyxoviridae",0,"Macronycteris gigas-paramyxoviridae"
"Macronycteris gigas-polyomavirus predict_pyv-14","Macronycteris gigas","polyomavirus predict_pyv-14","polyomaviridae",0,"Macronycteris gigas-polyomaviridae"
"Macronycteris gigas-polyomavirus predict_pyv-24","Macronycteris gigas","polyomavirus predict_pyv-24","polyomaviridae",0,"Macronycteris gigas-polyomaviridae"
"Macronycteris gigas-polyomavirus predict_pyv-25","Macronycteris gigas","polyomavirus predict_pyv-25","polyomaviridae",0,"Macronycteris gigas-polyomaviridae"
"Macronycteris gigas-polyomavirus predict_pyv-9","Macronycteris gigas","polyomavirus predict_pyv-9","polyomaviridae",0,"Macronycteris gigas-polyomaviridae"
"Macronycteris gigas-zaria bat coronavirus","Macronycteris gigas","zaria bat coronavirus","coronaviridae",0,"Macronycteris gigas-coronaviridae"
"Megaerops niphanae-coronavirus predict cov-24","Megaerops niphanae","coronavirus predict cov-24","coronaviridae",0,"Megaerops niphanae-coronaviridae"
"Megaloglossus woermanni-adenovirus predict_adv-29","Megaloglossus woermanni","adenovirus predict_adv-29","adenoviridae",0,"Megaloglossus woermanni-adenoviridae"
"Megaloglossus woermanni-adenovirus predict_adv-38","Megaloglossus woermanni","adenovirus predict_adv-38","adenoviridae",0,"Megaloglossus woermanni-adenoviridae"
"Megaloglossus woermanni-bat mastadenovirus","Megaloglossus woermanni","bat mastadenovirus","adenoviridae",0,"Megaloglossus woermanni-adenoviridae"
"Megaloglossus woermanni-chaerephon bat coronavirus/kenya/ky22/2006","Megaloglossus woermanni","chaerephon bat coronavirus/kenya/ky22/2006","coronaviridae",0,"Megaloglossus woermanni-coronaviridae"
"Megaloglossus woermanni-coronavirus predict cov-2","Megaloglossus woermanni","coronavirus predict cov-2","coronaviridae",0,"Megaloglossus woermanni-coronaviridae"
"Megaloglossus woermanni-coronavirus predict cov-30","Megaloglossus woermanni","coronavirus predict cov-30","coronaviridae",0,"Megaloglossus woermanni-coronaviridae"
"Megaloglossus woermanni-eidolon bat coronavirus/kenya/ky24/2006","Megaloglossus woermanni","eidolon bat coronavirus/kenya/ky24/2006","coronaviridae",0,"Megaloglossus woermanni-coronaviridae"
